,ID,ROW_ID,COMPANY_CODE,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,BANK_CASH_ACCOUNT,ACCOUNTS_RECEIVABLE,BANK_LOAN,ACCOUNTS_PAYABLE,PROFIT,SETUP_TIME_INVESTMENT,DEBT_LOADING,CREDIT_RATING,COMPANY_RISK_RATE_PCT,MARKET_RISK_RATE_PCT,COMPANY_VALUATION,DEBT_LOADING_UNADJUSTED,CREDIT_RATING_UNADJUSTED,COMPANY_RISK_RATE_UNADJUSTED,COMPANY_VALUATION_UNADJUSTED,CURRENCY
0,.1~1,1,D3,01,01,01/01,2024-01-01T00:00:00,1,1,0.00,0.00,-7500000.00,0.00,-500000.00,500000.00,-7500000.00,BBB+,5.75,7.00,-3921568.63,0.00,,0.00,0.00,EUR
1,.1~2,2,D3,01,02,01/02,2024-01-02T00:00:00,1,2,0.00,0.00,-7500000.00,-355607.00,-500000.00,500000.00,-7855607.00,BBB+,5.75,7.00,-3921568.63,0.00,,0.00,0.00,EUR
2,.1~3,3,D3,01,03,01/03,2024-01-03T00:00:00,1,3,0.00,0.00,-7500000.00,-355607.00,-499862.50,500000.00,-7855607.00,BBB+,5.75,7.00,-3835294.12,0.00,,0.00,0.00,EUR
3,.1~4,4,D3,01,04,01/04,2024-01-04T00:00:00,1,4,0.00,0.00,-7500000.00,-355607.00,-499743.51,500000.00,-7855607.00,BBB+,5.75,7.00,-3800867.45,0.00,,0.00,0.00,EUR
4,.1~5,5,D3,01,05,01/05,2024-01-05T00:00:00,1,5,-75000.00,43640.28,-7513117.95,-551910.50,-606384.17,500000.00,-8096388.17,BBB,6.00,7.00,-43126462.77,0.00,,0.00,0.00,EUR
5,.1~6,6,D3,01,06,01/06,2024-01-06T00:00:00,2,6,0.00,362786.01,-7588117.95,-551910.50,-350615.06,500000.00,-7777242.44,BBB+,5.75,7.00,42944294.90,0.00,,0.00,0.00,EUR
6,.1~7,7,D3,01,07,01/07,2024-01-07T00:00:00,2,7,0.00,472392.06,-7588117.95,-551910.50,-263341.04,500000.00,-7667636.39,BBB+,5.75,7.00,59717815.57,0.00,,0.00,0.00,EUR
7,.1~8,8,D3,01,08,01/08,2024-01-08T00:00:00,2,8,0.00,793559.58,-7588117.95,-551910.50,-325.69,500000.00,-7346468.87,BBB+,5.75,7.00,113648857.25,0.00,,0.00,0.00,EUR
8,.1~9,9,D3,01,09,01/09,2024-01-09T00:00:00,2,9,0.00,843103.95,-7588117.95,-1037942.50,39588.15,500000.00,-7782956.50,BBB+,5.75,7.00,108933469.28,0.00,,0.00,0.00,EUR
9,.1~10,10,D3,01,10,01/10,2024-01-10T00:00:00,2,10,-78400.00,958355.81,-7601435.78,-1037942.50,-13343.55,500000.00,-7759422.47,BBB+,5.75,7.00,87684351.37,0.00,,0.00,0.00,EUR
10,.1~11,11,D3,01,11,01/11,2024-01-11T00:00:00,3,11,0.00,1078092.91,-7679835.78,-1037942.50,79583.71,500000.00,-7639685.37,BBB+,5.75,7.00,95258531.48,0.00,,0.00,0.00,EUR
11,.1~12,12,D3,01,12,01/12,2024-01-12T00:00:00,3,12,0.00,1190156.36,-7679835.78,-1037942.50,162812.46,500000.00,-7527621.92,BBB+,5.75,7.00,100049013.33,0.00,,0.00,0.00,EUR
12,.1~13,13,D3,01,13,01/13,2024-01-13T00:00:00,3,13,0.00,1509064.85,-7679835.78,-1037942.50,407143.88,500000.00,-7208713.43,BBB+,5.75,7.00,127429581.42,0.00,,0.00,0.00,EUR
13,.1~14,14,D3,01,14,01/14,2024-01-14T00:00:00,3,14,0.00,1509064.85,-7679835.78,-1037942.50,407005.22,500000.00,-7208713.43,BBB+,5.75,7.00,118028713.05,0.00,,0.00,0.00,EUR
14,.1~15,15,D3,01,15,01/15,2024-01-15T00:00:00,3,15,-86800.00,1602406.85,-7693240.85,-1037942.50,323194.91,500000.00,-7215576.50,BBB+,5.75,7.00,99381322.04,0.00,,0.00,0.00,EUR
15,.1~16,16,D3,01,16,01/16,2024-01-16T00:00:00,4,16,0.00,1689369.15,-7780040.85,-1037942.50,391809.99,500000.00,-7128614.20,BBB+,5.75,7.00,100997253.73,0.00,,0.00,0.00,EUR
16,.1~17,17,D3,01,17,01/17,2024-01-17T00:00:00,4,17,0.00,1689369.15,-7780040.85,-1037942.50,392116.38,500000.00,-7128614.20,BBB+,5.75,7.00,94859483.83,0.00,,0.00,0.00,EUR
