,ID,ROW_ID,PURCHASING_ORGANIZATION,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,VENDOR_CODE,VENDOR_NAME,NET_PRICE,CURRENCY
0,.1~1,1,D3,DD-P01,Large Box (1kg),V02,Continental Printing Co.,0.33,EUR
1,.1~2,2,D3,DD-P02,Large Bag (1kg),V02,Continental Printing Co.,0.16,EUR
2,.1~3,3,D3,DD-P03,Small Box (500g),V02,Continental Printing Co.,0.25,EUR
3,.1~4,4,D3,DD-P04,Small Bag (500g),V02,Continental Printing Co.,0.14,EUR
4,.1~5,5,D3,DD-R01,Nuts,V01,Foodbroker Inc.,2.13,EUR
5,.1~6,6,D3,DD-R02,Blueberries,V01,Foodbroker Inc.,4.65,EUR
6,.1~7,7,D3,DD-R03,Strawberries,V01,Foodbroker Inc.,5.40,EUR
7,.1~8,8,D3,DD-R04,Raisins,V01,Foodbroker Inc.,0.87,EUR
8,.1~9,9,D3,DD-R05,Wheat,V01,Foodbroker Inc.,1.12,EUR
9,.1~10,10,D3,DD-R06,Oats,V01,Foodbroker Inc.,0.65,EUR
