,ID,ROW_ID,COMPANY_CODE,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,GL_ACCOUNT_NUMBER,GL_ACCOUNT_NAME,FS_LEVEL_1,FS_LEVEL_2,FS_LEVEL_3,FS_LEVEL_4,DEBIT_CREDIT_INDICATOR,AMOUNT_ABS,AMOUNT,AMOUNT_INV,AMOUNT_BS,AMOUNT_IS,CURRENCY
0,.1~1,1,D3,01,01,01/01,2024-01-01T00:00:00,1,1,1000,Land,Balance Sheet,Assets,Long-Term Assets,,Debit,500000.00,500000.00,-500000.00,500000.00,0.00,EUR
1,.1~2,2,D3,01,01,01/01,2024-01-01T00:00:00,1,1,2000,Buildings,Balance Sheet,Assets,Long-Term Assets,,Debit,1500000.00,1500000.00,-1500000.00,1500000.00,0.00,EUR
2,.1~3,3,D3,01,01,01/01,2024-01-01T00:00:00,1,1,11000,Machinery and equipment,Balance Sheet,Assets,Long-Term Assets,,Debit,25000000.00,25000000.00,-25000000.00,25000000.00,0.00,EUR
3,.1~4,4,D3,01,01,01/01,2024-01-01T00:00:00,1,1,70000,Common stock,Balance Sheet,Liabilities and Owners' Equity,Equity,Shareholders Equity,Credit,20000000.00,-20000000.00,20000000.00,-20000000.00,0.00,EUR
4,.1~5,5,D3,01,01,01/01,2024-01-01T00:00:00,1,1,113101,Bank Loan,Balance Sheet,Liabilities and Owners' Equity,Liabilities,Current Liabilities,Credit,8000000.00,-8000000.00,8000000.00,-8000000.00,0.00,EUR
5,.1~6,6,D3,01,01,01/01,2024-01-01T00:00:00,1,1,113101,Bank Loan,Balance Sheet,Liabilities and Owners' Equity,Liabilities,Current Liabilities,Debit,500000.00,500000.00,-500000.00,500000.00,0.00,EUR
6,.1~7,7,D3,01,01,01/01,2024-01-01T00:00:00,1,1,113300,Bank Cash Account,Balance Sheet,Assets,Current Assets,,Credit,28000000.00,-28000000.00,28000000.00,-28000000.00,0.00,EUR
7,.1~8,8,D3,01,01,01/01,2024-01-01T00:00:00,1,1,113300,Bank Cash Account,Balance Sheet,Assets,Current Assets,,Debit,28000000.00,28000000.00,-28000000.00,28000000.00,0.00,EUR
8,.1~9,9,D3,01,01,01/01,2024-01-01T00:00:00,1,1,478000,Lean Manufacturing Program Expenses,Income Statement,"Sales, General, and Administrative Expenses",Production Improvement Expenses,,Debit,500000.00,500000.00,-500000.00,0.00,-500000.00,EUR
9,.1~10,10,D3,01,02,01/02,2024-01-02T00:00:00,1,2,160000,Accounts payable-domestic,Balance Sheet,Liabilities and Owners' Equity,Liabilities,Current Liabilities,Credit,355607.00,-355607.00,355607.00,-355607.00,0.00,EUR
10,.1~11,11,D3,01,02,01/02,2024-01-02T00:00:00,1,2,191100,GR/IR Clearing - External procurement,Balance Sheet,Liabilities and Owners' Equity,Liabilities,Current Liabilities,Credit,355607.00,-355607.00,355607.00,-355607.00,0.00,EUR
11,.1~12,12,D3,01,02,01/02,2024-01-02T00:00:00,1,2,191100,GR/IR Clearing - External procurement,Balance Sheet,Liabilities and Owners' Equity,Liabilities,Current Liabilities,Debit,355607.00,355607.00,-355607.00,355607.00,0.00,EUR
12,.1~13,13,D3,01,02,01/02,2024-01-02T00:00:00,1,2,300000,Raw materials,Balance Sheet,Assets,Current Assets,,Debit,355607.00,355607.00,-355607.00,355607.00,0.00,EUR
13,.1~14,14,D3,01,03,01/03,2024-01-03T00:00:00,1,3,300000,Raw materials,Balance Sheet,Assets,Current Assets,,Credit,40362.50,-40362.50,40362.50,-40362.50,0.00,EUR
14,.1~15,15,D3,01,03,01/03,2024-01-03T00:00:00,1,3,400000,Consumption Raw Materials,Income Statement,Inventory Change,,,Debit,40362.50,40362.50,-40362.50,0.00,-40362.50,EUR
15,.1~16,16,D3,01,03,01/03,2024-01-03T00:00:00,1,3,792000,Finished goods,Balance Sheet,Assets,Current Assets,,Debit,40500.00,40500.00,-40500.00,40500.00,0.00,EUR
16,.1~17,17,D3,01,03,01/03,2024-01-03T00:00:00,1,3,895000,Total Finished Products Produced,Income Statement,Inventory Change,,,Credit,40500.00,-40500.00,40500.00,0.00,40500.00,EUR
17,.1~18,18,D3,01,04,01/04,2024-01-04T00:00:00,1,4,300000,Raw materials,Balance Sheet,Assets,Current Assets,,Credit,37605.32,-37605.32,37605.32,-37605.32,0.00,EUR
18,.1~19,19,D3,01,04,01/04,2024-01-04T00:00:00,1,4,400000,Consumption Raw Materials,Income Statement,Inventory Change,,,Debit,37605.32,37605.32,-37605.32,0.00,-37605.32,EUR
19,.1~20,20,D3,01,04,01/04,2024-01-04T00:00:00,1,4,792000,Finished goods,Balance Sheet,Assets,Current Assets,,Debit,37724.31,37724.31,-37724.31,37724.31,0.00,EUR
20,.1~21,21,D3,01,04,01/04,2024-01-04T00:00:00,1,4,895000,Total Finished Products Produced,Income Statement,Inventory Change,,,Credit,37724.31,-37724.31,37724.31,0.00,37724.31,EUR
21,.1~22,22,D3,01,05,01/05,2024-01-05T00:00:00,1,5,2010,Accumulated Depreciation - Buildings,Balance Sheet,Assets,Long-Term Assets,,Credit,1250.00,-1250.00,1250.00,-1250.00,0.00,EUR
22,.1~23,23,D3,01,05,01/05,2024-01-05T00:00:00,1,5,11010,Accumulated depreciation - machinery and equipment,Balance Sheet,Assets,Long-Term Assets,,Credit,52083.33,-52083.33,52083.33,-52083.33,0.00,EUR
23,.1~24,24,D3,01,05,01/05,2024-01-05T00:00:00,1,5,113101,Bank Loan,Balance Sheet,Liabilities and Owners' Equity,Liabilities,Current Liabilities,Credit,13117.95,-13117.95,13117.95,-13117.95,0.00,EUR
24,.1~25,25,D3,01,05,01/05,2024-01-05T00:00:00,1,5,113300,Bank Cash Account,Balance Sheet,Assets,Current Assets,,Credit,88117.95,-88117.95,88117.95,-88117.95,0.00,EUR
