,ID,ROW_ID,PLANT,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,EVENT_TYPE,DOCUMENT_TYPE,MOVEMENT_TYPE,STORAGE_LOCATION,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,MATERIAL_TYPE,MATERIAL_CODE,MATERIAL_SIZE,MATERIAL_LABEL,MATERIAL_DOCUMENT,DEBIT_CREDIT_INDICATOR,UNIT,QUANTITY_ABS,QUANTITY
0,.1~112,112,D3,01,09,01/09,2024-01-09T00:00:00,2,9,Goods Movement for Completion Confirm.,Goods Issue,GR for order,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,4900009096,Debit,ST,10332,10332
1,.1~1301,1301,D3,04,20,04/20,2024-03-20T00:00:00,16,80,Goods Issue for Delivery,Goods Issue/Delivery,GD goods issue:delvy,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,4900013385,Credit,ST,3141,-3141
2,.1~1300,1300,D3,04,20,04/20,2024-03-20T00:00:00,16,80,Goods Issue for Delivery,Goods Issue/Delivery,GD goods issue:delvy,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,4900013383,Credit,ST,3134,-3134
3,.1~1299,1299,D3,04,20,04/20,2024-03-20T00:00:00,16,80,Goods Issue for Delivery,Goods Issue/Delivery,GD goods issue:delvy,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,4900013372,Credit,ST,5470,-5470
4,.1~1291,1291,D3,04,19,04/19,2024-03-19T00:00:00,16,79,Goods Issue for Delivery,Goods Issue/Delivery,GD goods issue:delvy,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,4900013311,Credit,ST,2654,-2654
5,.1~1284,1284,D3,04,19,04/19,2024-03-19T00:00:00,16,79,Goods Movement for Completion Confirm.,Goods Issue,GR for order,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,4900013300,Debit,ST,23346,23346
6,.1~1264,1264,D3,04,18,04/18,2024-03-18T00:00:00,16,78,Goods Movement for Completion Confirm.,Goods Issue,GR for order,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,4900013258,Debit,ST,2654,2654
7,.1~1193,1193,D3,04,13,04/13,2024-03-13T00:00:00,15,73,Goods Issue for Delivery,Goods Issue/Delivery,GD goods issue:delvy,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,4900012976,Credit,ST,1256,-1256
8,.1~1159,1159,D3,04,11,04/11,2024-03-11T00:00:00,15,71,Goods Issue for Delivery,Goods Issue/Delivery,GD goods issue:delvy,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,4900012852,Credit,ST,6886,-6886
9,.1~1158,1158,D3,04,11,04/11,2024-03-11T00:00:00,15,71,Goods Issue for Delivery,Goods Issue/Delivery,GD goods issue:delvy,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,4900012862,Credit,ST,3681,-3681
10,.1~1138,1138,D3,04,10,04/10,2024-03-10T00:00:00,14,70,Goods Issue for Delivery,Goods Issue/Delivery,GD goods issue:delvy,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,4900012798,Credit,ST,7171,-7171
11,.1~1137,1137,D3,04,10,04/10,2024-03-10T00:00:00,14,70,Goods Issue for Delivery,Goods Issue/Delivery,GD goods issue:delvy,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,4900012807,Credit,ST,6183,-6183
12,.1~1136,1136,D3,04,10,04/10,2024-03-10T00:00:00,14,70,Goods Issue for Delivery,Goods Issue/Delivery,GD goods issue:delvy,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,4900012804,Credit,ST,2859,-2859
13,.1~1120,1120,D3,04,09,04/09,2024-03-09T00:00:00,14,69,Goods Issue for Delivery,Goods Issue/Delivery,GD goods issue:delvy,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,4900012733,Credit,ST,3606,-3606
