,ID,ROW_ID,PLANT,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,MATERIAL_NUMBER,QUANTITY,UNIT
0,.1~1,1,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F11,37000,ST
1,.1~2,2,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F12,37000,ST
2,.1~3,3,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F13,37000,ST
3,.1~4,4,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F14,37000,ST
4,.1~5,5,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F16,37000,ST
5,.1~6,6,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F01,37000,ST
6,.1~7,7,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F02,37000,ST
7,.1~8,8,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F03,37000,ST
8,.1~9,9,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F04,37000,ST
9,.1~10,10,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F06,37000,ST
10,.1~11,11,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F11,0,ST
11,.1~12,12,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F12,0,ST
12,.1~13,13,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F13,0,ST
13,.1~14,14,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F14,0,ST
14,.1~15,15,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F16,0,ST
15,.1~16,16,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F01,0,ST
16,.1~17,17,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F02,0,ST
17,.1~18,18,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F03,0,ST
18,.1~19,19,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F04,0,ST
19,.1~20,20,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F06,0,ST
20,.1~21,21,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F11,63000,ST
21,.1~22,22,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F12,85000,ST
22,.1~23,23,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F13,85000,ST
23,.1~24,24,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F14,85000,ST
24,.1~25,25,D3,01,07,01/07,2024-01-07T00:00:00,2,7,DD-F16,70000,ST
25,.1~26,26,D3,02,01,02/01,2024-01-21T00:00:00,5,21,DD-F01,45000,ST
26,.1~27,27,D3,02,01,02/01,2024-01-21T00:00:00,5,21,DD-F02,63000,ST
27,.1~28,28,D3,02,01,02/01,2024-01-21T00:00:00,5,21,DD-F03,70000,ST
28,.1~29,29,D3,02,01,02/01,2024-01-21T00:00:00,5,21,DD-F04,57000,ST
29,.1~30,30,D3,02,01,02/01,2024-01-21T00:00:00,5,21,DD-F06,74000,ST
30,.1~31,31,D3,02,01,02/01,2024-01-21T00:00:00,5,21,DD-F11,0,ST
31,.1~32,32,D3,02,01,02/01,2024-01-21T00:00:00,5,21,DD-F12,0,ST
32,.1~33,33,D3,02,01,02/01,2024-01-21T00:00:00,5,21,DD-F13,0,ST
33,.1~34,34,D3,02,01,02/01,2024-01-21T00:00:00,5,21,DD-F14,0,ST
34,.1~35,35,D3,02,01,02/01,2024-01-21T00:00:00,5,21,DD-F16,0,ST
35,.1~36,36,D3,02,05,02/05,2024-01-25T00:00:00,5,25,DD-F01,0,ST
36,.1~37,37,D3,02,05,02/05,2024-01-25T00:00:00,5,25,DD-F02,0,ST
37,.1~38,38,D3,02,05,02/05,2024-01-25T00:00:00,5,25,DD-F03,0,ST
38,.1~39,39,D3,02,05,02/05,2024-01-25T00:00:00,5,25,DD-F04,0,ST
39,.1~40,40,D3,02,05,02/05,2024-01-25T00:00:00,5,25,DD-F05,24000,ST
40,.1~41,41,D3,02,05,02/05,2024-01-25T00:00:00,5,25,DD-F06,0,ST
41,.1~42,42,D3,02,05,02/05,2024-01-25T00:00:00,5,25,DD-F15,24000,ST
42,.1~43,43,D3,02,13,02/13,2024-02-02T00:00:00,7,33,DD-F05,0,ST
43,.1~44,44,D3,02,13,02/13,2024-02-02T00:00:00,7,33,DD-F11,48000,ST
44,.1~45,45,D3,02,13,02/13,2024-02-02T00:00:00,7,33,DD-F12,50000,ST
45,.1~46,46,D3,02,13,02/13,2024-02-02T00:00:00,7,33,DD-F13,54000,ST
46,.1~47,47,D3,02,13,02/13,2024-02-02T00:00:00,7,33,DD-F14,77000,ST
47,.1~48,48,D3,02,13,02/13,2024-02-02T00:00:00,7,33,DD-F15,0,ST
48,.1~49,49,D3,02,13,02/13,2024-02-02T00:00:00,7,33,DD-F16,64000,ST
49,.1~50,50,D3,03,05,03/05,2024-02-14T00:00:00,9,45,DD-F02,48000,ST
50,.1~51,51,D3,03,05,03/05,2024-02-14T00:00:00,9,45,DD-F04,58000,ST
51,.1~52,52,D3,03,05,03/05,2024-02-14T00:00:00,9,45,DD-F06,74000,ST
52,.1~53,53,D3,03,05,03/05,2024-02-14T00:00:00,9,45,DD-F11,0,ST
53,.1~54,54,D3,03,05,03/05,2024-02-14T00:00:00,9,45,DD-F12,0,ST
54,.1~55,55,D3,03,05,03/05,2024-02-14T00:00:00,9,45,DD-F13,0,ST
55,.1~56,56,D3,03,05,03/05,2024-02-14T00:00:00,9,45,DD-F14,0,ST
56,.1~57,57,D3,03,05,03/05,2024-02-14T00:00:00,9,45,DD-F16,0,ST
57,.1~58,58,D3,03,11,03/11,2024-02-20T00:00:00,11,51,DD-F02,0,ST
58,.1~59,59,D3,03,11,03/11,2024-02-20T00:00:00,11,51,DD-F04,0,ST
