,ID,ROW_ID,PLANT,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,STORAGE_LOCATION,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,MATERIAL_TYPE,MATERIAL_CODE,MATERIAL_SIZE,MATERIAL_LABEL,INVENTORY_OPENING_BALANCE,UNIT
0,.1~140,140,D3,01,07,01/07,2024-01-07T00:00:00,2,7,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
1,.1~1218,1218,D3,03,16,03/16,2024-02-25T00:00:00,12,56,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,15147,ST
2,.1~30,30,D3,01,02,01/02,2024-01-02T00:00:00,1,2,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
3,.1~866,866,D3,02,20,02/20,2024-02-09T00:00:00,8,40,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
4,.1~1196,1196,D3,03,15,03/15,2024-02-24T00:00:00,11,55,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,18239,ST
5,.1~734,734,D3,02,14,02/14,2024-02-03T00:00:00,7,34,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
6,.1~624,624,D3,02,09,02/09,2024-01-29T00:00:00,6,29,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,22708,ST
7,.1~1702,1702,D3,04,18,04/18,2024-03-18T00:00:00,16,78,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
8,.1~1108,1108,D3,03,11,03/11,2024-02-20T00:00:00,11,51,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,26236,ST
9,.1~1328,1328,D3,04,01,04/01,2024-03-01T00:00:00,13,61,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,400,ST
10,.1~250,250,D3,01,12,01/12,2024-01-12T00:00:00,3,12,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,31214,ST
11,.1~360,360,D3,01,17,01/17,2024-01-17T00:00:00,4,17,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,2268,ST
12,.1~404,404,D3,01,19,01/19,2024-01-19T00:00:00,4,19,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,2268,ST
13,.1~756,756,D3,02,15,02/15,2024-02-04T00:00:00,7,35,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
14,.1~206,206,D3,01,10,01/10,2024-01-10T00:00:00,2,10,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,10332,ST
15,.1~272,272,D3,01,13,01/13,2024-01-13T00:00:00,3,13,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,28622,ST
16,.1~1372,1372,D3,04,03,04/03,2024-03-03T00:00:00,13,63,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,400,ST
17,.1~1768,1768,D3,05,01,05/01,2024-03-21T00:00:00,17,81,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,11601,ST
18,.1~1548,1548,D3,04,11,04/11,2024-03-11T00:00:00,15,71,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,11823,ST
19,.1~118,118,D3,01,06,01/06,2024-01-06T00:00:00,2,6,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
20,.1~1152,1152,D3,03,13,03/13,2024-02-22T00:00:00,11,53,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,20784,ST
21,.1~690,690,D3,02,12,02/12,2024-02-01T00:00:00,7,32,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,2536,ST
22,.1~382,382,D3,01,18,01/18,2024-01-18T00:00:00,4,18,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,2268,ST
23,.1~470,470,D3,02,02,02/02,2024-01-22T00:00:00,5,22,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
24,.1~294,294,D3,01,14,01/14,2024-01-14T00:00:00,3,14,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,16183,ST
25,.1~1680,1680,D3,04,17,04/17,2024-03-17T00:00:00,16,77,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
26,.1~910,910,D3,03,02,03/02,2024-02-11T00:00:00,9,42,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
27,.1~668,668,D3,02,11,02/11,2024-01-31T00:00:00,7,31,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,2536,ST
28,.1~888,888,D3,03,01,03/01,2024-02-10T00:00:00,9,41,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
29,.1~1350,1350,D3,04,02,04/02,2024-03-02T00:00:00,13,62,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,400,ST
30,.1~1416,1416,D3,04,05,04/05,2024-03-05T00:00:00,13,65,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,400,ST
31,.1~712,712,D3,02,13,02/13,2024-02-02T00:00:00,7,33,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
32,.1~1174,1174,D3,03,14,03/14,2024-02-23T00:00:00,11,54,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,20784,ST
33,.1~1130,1130,D3,03,12,03/12,2024-02-21T00:00:00,11,52,02,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,26236,ST
