,ID,ROW_ID,COMPANY_CODE,SALES_ORGANIZATION,SIM_ROUND,SIM_PERIOD,MATERIAL_DESCRIPTION,DISTRIBUTION_CHANNEL,AREA,QUANTITY,UNIT,AVERAGE_PRICE,NET_VALUE,CURRENCY
0,.1~2,2,D3,Company,01,1,1kg Blueberry Muesli,10,West,0.000,,0.00,0.00,
1,.1~4,4,D3,Company,01,1,1kg Blueberry Muesli,12,North,0.000,,0.00,0.00,
2,.1~6,6,D3,Company,01,1,1kg Blueberry Muesli,12,South,0.000,,0.00,0.00,
3,.1~8,8,D3,Company,01,1,1kg Blueberry Muesli,12,West,0.000,,0.00,0.00,
4,.1~10,10,D3,Company,01,1,1kg Mixed Fruit Muesli,10,North,4338,ST,10.06,43640.28,EUR
5,.1~12,12,D3,Company,01,1,1kg Mixed Fruit Muesli,10,South,0.000,,0.00,0.00,
6,.1~14,14,D3,Company,01,1,1kg Mixed Fruit Muesli,10,West,0.000,,0.00,0.00,
7,.1~16,16,D3,Company,01,1,1kg Mixed Fruit Muesli,12,North,0.000,,0.00,0.00,
8,.1~18,18,D3,Company,01,1,1kg Mixed Fruit Muesli,12,West,0.000,,0.00,0.00,
9,.1~20,20,D3,Company,01,1,1kg Raisin Muesli,10,South,0.000,,0.00,0.00,
10,.1~22,22,D3,Company,01,1,1kg Raisin Muesli,12,South,0.000,,0.00,0.00,
11,.1~24,24,D3,Company,01,1,500g Blueberry Muesli,12,South,0.000,,0.00,0.00,
12,.1~26,26,D3,Company,01,1,500g Blueberry Muesli,12,West,0.000,,0.00,0.00,
13,.1~28,28,D3,Company,01,1,500g Blueberry Muesli,14,North,0.000,,0.00,0.00,
14,.1~30,30,D3,Company,01,1,500g Blueberry Muesli,14,South,0.000,,0.00,0.00,
15,.1~32,32,D3,Company,01,1,500g Blueberry Muesli,14,West,0.000,,0.00,0.00,
16,.1~34,34,D3,Company,01,1,500g Nut Muesli,12,North,0.000,,0.00,0.00,
17,.1~36,36,D3,Company,01,1,500g Nut Muesli,12,South,0.000,,0.00,0.00,
18,.1~38,38,D3,Company,01,1,500g Nut Muesli,14,North,0.000,,0.00,0.00,
19,.1~40,40,D3,Company,01,1,500g Nut Muesli,14,South,0.000,,0.00,0.00,
20,.1~42,42,D3,Company,01,1,500g Nut Muesli,14,West,0.000,,0.00,0.00,
21,.1~44,44,D3,Company,01,1,500g Raisin Muesli,14,North,0.000,,0.00,0.00,
22,.1~46,46,D3,Company,01,1,500g Raisin Muesli,14,South,0.000,,0.00,0.00,
23,.1~48,48,D3,Company,01,1,500g Raisin Muesli,14,West,0.000,,0.00,0.00,
24,.1~50,50,D3,Company,01,1,500g Strawberry Muesli,12,North,0.000,,0.00,0.00,
25,.1~52,52,D3,Company,01,1,500g Strawberry Muesli,14,West,0.000,,0.00,0.00,
26,.1~54,54,D3,Company,01,2,1kg Blueberry Muesli,10,North,0.000,,0.00,0.00,
27,.1~56,56,D3,Company,01,2,1kg Blueberry Muesli,10,South,0.000,,0.00,0.00,
28,.1~58,58,D3,Company,01,2,1kg Blueberry Muesli,10,West,0.000,,0.00,0.00,
29,.1~60,60,D3,Company,01,2,1kg Blueberry Muesli,12,North,0.000,,0.00,0.00,
30,.1~62,62,D3,Company,01,2,1kg Blueberry Muesli,12,South,0.000,,0.00,0.00,
31,.1~64,64,D3,Company,01,2,1kg Blueberry Muesli,12,West,0.000,,0.00,0.00,
32,.1~66,66,D3,Company,01,2,1kg Mixed Fruit Muesli,10,North,7299,ST,8.96,65399.04,EUR
33,.1~68,68,D3,Company,01,2,1kg Mixed Fruit Muesli,10,West,5202,ST,9.01,46892.82,EUR
34,.1~70,70,D3,Company,01,2,1kg Mixed Fruit Muesli,12,North,12451,ST,9.64,119876.36,EUR
35,.1~72,72,D3,Company,01,2,1kg Mixed Fruit Muesli,12,South,2728,ST,9.56,26079.68,EUR
36,.1~74,74,D3,Company,01,2,1kg Mixed Fruit Muesli,12,West,4982,ST,9.46,47129.72,EUR
37,.1~76,76,D3,Company,01,2,1kg Nut Muesli,10,North,2960,ST,8.61,25485.60,EUR
38,.1~78,78,D3,Company,01,2,1kg Nut Muesli,10,South,0.000,,0.00,0.00,
39,.1~80,80,D3,Company,01,2,1kg Nut Muesli,10,West,3699,ST,8.56,31766.39,EUR
40,.1~82,82,D3,Company,01,2,1kg Nut Muesli,12,North,20687,ST,9.41,194503.37,EUR
41,.1~84,84,D3,Company,01,2,1kg Nut Muesli,12,South,5207,ST,9.11,47435.77,EUR
42,.1~86,86,D3,Company,01,2,1kg Nut Muesli,12,West,4447,ST,9.06,40288.07,EUR
43,.1~88,88,D3,Company,01,2,1kg Original Muesli,12,North,0.000,,0.00,0.00,
44,.1~90,90,D3,Company,01,2,1kg Original Muesli,12,South,0.000,,0.00,0.00,
45,.1~92,92,D3,Company,01,2,1kg Raisin Muesli,10,North,5615,ST,8.28,46492.20,EUR
46,.1~94,94,D3,Company,01,2,1kg Raisin Muesli,10,South,0.000,,0.00,0.00,
47,.1~96,96,D3,Company,01,2,1kg Raisin Muesli,10,West,4984,ST,8.28,41267.52,EUR
48,.1~98,98,D3,Company,01,2,1kg Raisin Muesli,12,North,9092,ST,9.28,84373.76,EUR
49,.1~100,100,D3,Company,01,2,1kg Raisin Muesli,12,South,0.000,,0.00,0.00,
50,.1~102,102,D3,Company,01,2,1kg Raisin Muesli,12,West,0.000,,0.00,0.00,
51,.1~104,104,D3,Company,01,2,1kg Strawberry Muesli,10,West,5185,ST,9.17,47546.45,EUR
52,.1~106,106,D3,Company,01,2,1kg Strawberry Muesli,12,North,4934,ST,10.17,50178.78,EUR
53,.1~108,108,D3,Company,01,2,1kg Strawberry Muesli,12,South,0.000,,0.00,0.00,
54,.1~110,110,D3,Company,01,2,1kg Strawberry Muesli,12,West,0.000,,0.00,0.00,
55,.1~112,112,D3,Company,01,2,500g Blueberry Muesli,12,South,0.000,,0.00,0.00,
56,.1~114,114,D3,Company,01,2,500g Blueberry Muesli,12,West,0.000,,0.00,0.00,
57,.1~116,116,D3,Company,01,2,500g Blueberry Muesli,14,North,0.000,,0.00,0.00,
58,.1~118,118,D3,Company,01,2,500g Blueberry Muesli,14,South,0.000,,0.00,0.00,
59,.1~120,120,D3,Company,01,2,500g Blueberry Muesli,14,West,0.000,,0.00,0.00,
60,.1~122,122,D3,Company,01,2,500g Mixed Fruit Muesli,12,North,0.000,,0.00,0.00,
61,.1~124,124,D3,Company,01,2,500g Mixed Fruit Muesli,12,South,0.000,,0.00,0.00,
62,.1~126,126,D3,Company,01,2,500g Mixed Fruit Muesli,12,West,0.000,,0.00,0.00,
63,.1~128,128,D3,Company,01,2,500g Mixed Fruit Muesli,14,North,0.000,,0.00,0.00,
64,.1~130,130,D3,Company,01,2,500g Mixed Fruit Muesli,14,South,0.000,,0.00,0.00,
65,.1~132,132,D3,Company,01,2,500g Mixed Fruit Muesli,14,West,0.000,,0.00,0.00,
66,.1~134,134,D3,Company,01,2,500g Nut Muesli,12,North,0.000,,0.00,0.00,
67,.1~136,136,D3,Company,01,2,500g Nut Muesli,12,South,0.000,,0.00,0.00,
68,.1~138,138,D3,Company,01,2,500g Nut Muesli,12,West,0.000,,0.00,0.00,
69,.1~140,140,D3,Company,01,2,500g Nut Muesli,14,North,0.000,,0.00,0.00,
70,.1~142,142,D3,Company,01,2,500g Nut Muesli,14,South,0.000,,0.00,0.00,
71,.1~144,144,D3,Company,01,2,500g Nut Muesli,14,West,0.000,,0.00,0.00,
72,.1~146,146,D3,Company,01,2,500g Original Muesli,12,North,0.000,,0.00,0.00,
73,.1~148,148,D3,Company,01,2,500g Original Muesli,12,West,0.000,,0.00,0.00,
74,.1~150,150,D3,Company,01,2,500g Original Muesli,14,North,0.000,,0.00,0.00,
75,.1~152,152,D3,Company,01,2,500g Original Muesli,14,West,0.000,,0.00,0.00,
76,.1~154,154,D3,Company,01,2,500g Raisin Muesli,12,North,0.000,,0.00,0.00,
77,.1~156,156,D3,Company,01,2,500g Raisin Muesli,12,South,0.000,,0.00,0.00,
78,.1~158,158,D3,Company,01,2,500g Raisin Muesli,14,North,0.000,,0.00,0.00,
79,.1~160,160,D3,Company,01,2,500g Raisin Muesli,14,South,0.000,,0.00,0.00,
80,.1~162,162,D3,Company,01,2,500g Raisin Muesli,14,West,0.000,,0.00,0.00,
81,.1~164,164,D3,Company,01,2,500g Strawberry Muesli,12,North,0.000,,0.00,0.00,
82,.1~166,166,D3,Company,01,2,500g Strawberry Muesli,12,West,0.000,,0.00,0.00,
83,.1~168,168,D3,Company,01,2,500g Strawberry Muesli,14,North,0.000,,0.00,0.00,
84,.1~170,170,D3,Company,01,2,500g Strawberry Muesli,14,South,0.000,,0.00,0.00,
85,.1~172,172,D3,Company,01,2,500g Strawberry Muesli,14,West,0.000,,0.00,0.00,
86,.1~174,174,D3,Company,01,3,1kg Blueberry Muesli,10,North,2873,ST,8.76,25167.48,EUR
87,.1~176,176,D3,Company,01,3,1kg Blueberry Muesli,10,South,0.000,,0.00,0.00,
88,.1~178,178,D3,Company,01,3,1kg Blueberry Muesli,10,West,10662,ST,8.76,93399.12,EUR
89,.1~180,180,D3,Company,01,3,1kg Blueberry Muesli,12,North,2368,ST,8.66,20506.88,EUR
90,.1~182,182,D3,Company,01,3,1kg Blueberry Muesli,12,South,4914,ST,8.66,42555.24,EUR
91,.1~184,184,D3,Company,01,3,1kg Blueberry Muesli,12,West,8736,ST,8.00,69888.00,EUR
92,.1~186,186,D3,Company,01,3,1kg Mixed Fruit Muesli,10,South,0.000,,0.00,0.00,
