,ID,ROW_ID,SALES_ORGANIZATION,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,DISTRIBUTION_CHANNEL,DC_NAME,PRICE,CURRENCY
0,.1~1,1,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F01,500g Nut Muesli,12,Grocery chains,9.90,EUR
1,.1~2,2,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F01,500g Nut Muesli,14,Indept. grocers,9.90,EUR
2,.1~3,3,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F02,500g Blueberry Muesli,12,Grocery chains,10.23,EUR
3,.1~4,4,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F02,500g Blueberry Muesli,14,Indept. grocers,10.23,EUR
4,.1~5,5,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F03,500g Strawberry Muesli,12,Grocery chains,10.23,EUR
5,.1~6,6,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F03,500g Strawberry Muesli,14,Indept. grocers,10.23,EUR
6,.1~7,7,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F04,500g Raisin Muesli,12,Grocery chains,9.79,EUR
7,.1~8,8,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F04,500g Raisin Muesli,14,Indept. grocers,9.79,EUR
8,.1~9,9,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F05,500g Original Muesli,12,Grocery chains,9.77,EUR
9,.1~10,10,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F05,500g Original Muesli,14,Indept. grocers,9.77,EUR
10,.1~11,11,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F06,500g Mixed Fruit Muesli,12,Grocery chains,10.13,EUR
11,.1~12,12,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F06,500g Mixed Fruit Muesli,14,Indept. grocers,10.13,EUR
12,.1~13,13,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F11,1kg Nut Muesli,10,Hypermarket,9.61,EUR
13,.1~14,14,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F11,1kg Nut Muesli,12,Grocery chains,10.61,EUR
14,.1~15,15,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F12,1kg Blueberry Muesli,10,Hypermarket,10.26,EUR
15,.1~16,16,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F12,1kg Blueberry Muesli,12,Grocery chains,11.26,EUR
16,.1~17,17,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F13,1kg Strawberry Muesli,10,Hypermarket,10.27,EUR
17,.1~18,18,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F13,1kg Strawberry Muesli,12,Grocery chains,11.27,EUR
18,.1~19,19,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F14,1kg Raisin Muesli,10,Hypermarket,9.38,EUR
19,.1~20,20,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F14,1kg Raisin Muesli,12,Grocery chains,10.38,EUR
20,.1~21,21,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F15,1kg Original Muesli,10,Hypermarket,9.35,EUR
21,.1~22,22,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F15,1kg Original Muesli,12,Grocery chains,10.35,EUR
22,.1~23,23,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F16,1kg Mixed Fruit Muesli,10,Hypermarket,10.06,EUR
23,.1~24,24,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F16,1kg Mixed Fruit Muesli,12,Grocery chains,11.06,EUR
24,.1~25,25,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F01,500g Nut Muesli,12,Grocery chains,9.90,EUR
25,.1~26,26,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F01,500g Nut Muesli,14,Indept. grocers,9.90,EUR
26,.1~27,27,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F02,500g Blueberry Muesli,12,Grocery chains,10.23,EUR
27,.1~28,28,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F02,500g Blueberry Muesli,14,Indept. grocers,10.23,EUR
28,.1~29,29,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F03,500g Strawberry Muesli,12,Grocery chains,10.23,EUR
29,.1~30,30,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F03,500g Strawberry Muesli,14,Indept. grocers,10.23,EUR
30,.1~31,31,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F04,500g Raisin Muesli,12,Grocery chains,9.79,EUR
31,.1~32,32,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F04,500g Raisin Muesli,14,Indept. grocers,9.79,EUR
32,.1~33,33,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F05,500g Original Muesli,12,Grocery chains,9.77,EUR
33,.1~34,34,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F05,500g Original Muesli,14,Indept. grocers,9.77,EUR
34,.1~35,35,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F06,500g Mixed Fruit Muesli,12,Grocery chains,10.13,EUR
35,.1~36,36,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F06,500g Mixed Fruit Muesli,14,Indept. grocers,10.13,EUR
36,.1~37,37,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F11,1kg Nut Muesli,10,Hypermarket,9.61,EUR
37,.1~38,38,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F11,1kg Nut Muesli,12,Grocery chains,10.61,EUR
38,.1~39,39,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F12,1kg Blueberry Muesli,10,Hypermarket,10.26,EUR
39,.1~40,40,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-F12,1kg Blueberry Muesli,12,Grocery chains,11.26,EUR
