,ID,ROW_ID,COMPANY_CODE,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,MATERIAL_SIZE,MATERIAL_LABEL,MATERIAL_CODE,YIELD,UNIT
0,.1~166,166,D3,01,14,01/14,2024-01-14T00:00:00,3,14,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
1,.1~260,260,D3,02,02,02/02,2024-01-22T00:00:00,5,22,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
2,.1~834,834,D3,04,10,04/10,2024-03-10T00:00:00,14,70,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
3,.1~131,131,D3,01,11,01/11,2024-01-11T00:00:00,3,11,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,1.668E3,ST
4,.1~366,366,D3,02,11,02/11,2024-01-31T00:00:00,7,31,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
5,.1~755,755,D3,04,03,04/03,2024-03-03T00:00:00,13,63,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
6,.1~133,133,D3,01,12,01/12,2024-01-12T00:00:00,3,12,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
7,.1~653,653,D3,03,15,03/15,2024-02-24T00:00:00,11,55,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
8,.1~120,120,D3,01,10,01/10,2024-01-10T00:00:00,2,10,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,2.5E4,ST
9,.1~637,637,D3,03,14,03/14,2024-02-23T00:00:00,11,54,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
10,.1~51,51,D3,01,05,01/05,2024-01-05T00:00:00,1,5,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
11,.1~450,450,D3,02,18,02/18,2024-02-07T00:00:00,8,38,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
12,.1~570,570,D3,03,08,03/08,2024-02-17T00:00:00,10,48,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
13,.1~107,107,D3,01,09,01/09,2024-01-09T00:00:00,2,9,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,1.0332E4,ST
14,.1~435,435,D3,02,17,02/17,2024-02-06T00:00:00,8,37,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
15,.1~582,582,D3,03,09,03/09,2024-02-18T00:00:00,10,49,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
16,.1~29,29,D3,01,03,01/03,2024-01-03T00:00:00,1,3,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
17,.1~68,68,D3,01,06,01/06,2024-01-06T00:00:00,2,6,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
18,.1~619,619,D3,03,12,03/12,2024-02-21T00:00:00,11,52,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
19,.1~173,173,D3,01,15,01/15,2024-01-15T00:00:00,3,15,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
20,.1~736,736,D3,04,02,04/02,2024-03-02T00:00:00,13,62,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
21,.1~513,513,D3,03,03,03/03,2024-02-12T00:00:00,9,43,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
22,.1~867,867,D3,04,13,04/13,2024-03-13T00:00:00,15,73,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
23,.1~389,389,D3,02,13,02/13,2024-02-02T00:00:00,7,33,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
24,.1~5,5,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
