,ID,ROW_ID,COMPANY_CODE,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,PRODUCTION_ORDER,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,BEGIN_ROUND,BEGIN_STEP,END_ROUND,END_STEP,TARGET_QUANTITY,CONFIRMED_QUANTITY,UNIT,SETUP_TIME
0,.1~1,1,D3,01,03,01/03,2024-01-03T00:00:00,1,3,1001082,DD-F11,1kg Nut Muesli,01,03,01,04,37000,37000,ST,0
1,.1~2,2,D3,01,03,01/03,2024-01-03T00:00:00,1,3,1001087,DD-F16,1kg Mixed Fruit Muesli,01,04,01,06,37000,37000,ST,4
2,.1~3,3,D3,01,03,01/03,2024-01-03T00:00:00,1,3,1001086,DD-F14,1kg Raisin Muesli,01,06,01,07,37000,37000,ST,4
3,.1~4,4,D3,01,03,01/03,2024-01-03T00:00:00,1,3,1001085,DD-F13,1kg Strawberry Muesli,01,07,01,09,37000,37000,ST,4
4,.1~5,5,D3,01,03,01/03,2024-01-03T00:00:00,1,3,1001084,DD-F12,1kg Blueberry Muesli,01,09,01,11,37000,37000,ST,4
5,.1~6,6,D3,01,06,01/06,2024-01-06T00:00:00,2,6,1001165,DD-F01,500g Nut Muesli,01,11,01,12,37000,37000,ST,4
6,.1~7,7,D3,01,06,01/06,2024-01-06T00:00:00,2,6,1001168,DD-F04,500g Raisin Muesli,01,12,01,14,37000,37000,ST,4
7,.1~8,8,D3,01,06,01/06,2024-01-06T00:00:00,2,6,1001167,DD-F03,500g Strawberry Muesli,01,14,01,16,37000,37000,ST,4
8,.1~9,9,D3,01,06,01/06,2024-01-06T00:00:00,2,6,1001166,DD-F02,500g Blueberry Muesli,01,16,01,17,37000,37000,ST,4
9,.1~10,10,D3,01,06,01/06,2024-01-06T00:00:00,2,6,1001169,DD-F06,500g Mixed Fruit Muesli,01,17,01,19,37000,37000,ST,4
10,.1~11,11,D3,01,10,01/10,2024-01-10T00:00:00,2,10,1001195,DD-F16,1kg Mixed Fruit Muesli,01,19,02,01,48000,48000,ST,4
11,.1~12,12,D3,01,10,01/10,2024-01-10T00:00:00,2,10,1001196,DD-F16,1kg Mixed Fruit Muesli,02,01,02,02,16000,16000,ST,0
12,.1~13,13,D3,01,10,01/10,2024-01-10T00:00:00,2,10,1001199,DD-F13,1kg Strawberry Muesli,02,02,02,04,48000,48000,ST,4
13,.1~14,14,D3,01,10,01/10,2024-01-10T00:00:00,2,10,1001200,DD-F11,1kg Nut Muesli,02,04,02,06,48000,48000,ST,4
14,.1~15,15,D3,01,10,01/10,2024-01-10T00:00:00,2,10,1001201,DD-F12,1kg Blueberry Muesli,02,06,02,08,48000,48000,ST,4
15,.1~16,16,D3,01,10,01/10,2024-01-10T00:00:00,2,10,1001202,DD-F14,1kg Raisin Muesli,02,08,02,10,48000,48000,ST,4
16,.1~17,17,D3,02,06,02/06,2024-01-26T00:00:00,6,26,1001302,DD-F01,500g Nut Muesli,02,10,02,12,37000,37000,ST,4
17,.1~18,18,D3,02,06,02/06,2024-01-26T00:00:00,6,26,1001304,DD-F03,500g Strawberry Muesli,02,12,02,14,48000,48000,ST,4
18,.1~19,19,D3,02,06,02/06,2024-01-26T00:00:00,6,26,1001303,DD-F02,500g Blueberry Muesli,02,14,02,15,37000,37000,ST,4
19,.1~20,20,D3,02,06,02/06,2024-01-26T00:00:00,6,26,1001305,DD-F04,500g Raisin Muesli,02,15,02,17,37000,37000,ST,4
20,.1~21,21,D3,02,06,02/06,2024-01-26T00:00:00,6,26,1001306,DD-F06,500g Mixed Fruit Muesli,02,17,02,19,37000,37000,ST,4
21,.1~22,22,D3,02,10,02/10,2024-01-30T00:00:00,6,30,1001333,DD-F05,500g Original Muesli,02,19,02,20,24000,24000,ST,4
22,.1~23,23,D3,02,10,02/10,2024-01-30T00:00:00,6,30,1001334,DD-F15,1kg Original Muesli,02,20,03,01,24000,24000,ST,4
23,.1~24,24,D3,02,16,02/16,2024-02-05T00:00:00,8,36,1001379,DD-F16,1kg Mixed Fruit Muesli,03,01,03,03,48000,48000,ST,4
24,.1~25,25,D3,02,16,02/16,2024-02-05T00:00:00,8,36,1001380,DD-F16,1kg Mixed Fruit Muesli,03,03,03,04,16000,16000,ST,0
25,.1~26,26,D3,02,16,02/16,2024-02-05T00:00:00,8,36,1001392,DD-F12,1kg Blueberry Muesli,03,04,03,06,48000,48000,ST,4
26,.1~27,27,D3,02,16,02/16,2024-02-05T00:00:00,8,36,1001393,DD-F12,1kg Blueberry Muesli,03,06,03,06,16000,16000,ST,0
27,.1~28,28,D3,02,16,02/16,2024-02-05T00:00:00,8,36,1001394,DD-F13,1kg Strawberry Muesli,03,06,03,08,48000,48000,ST,4
28,.1~29,29,D3,02,16,02/16,2024-02-05T00:00:00,8,36,1001395,DD-F13,1kg Strawberry Muesli,03,08,03,09,16000,16000,ST,0
29,.1~30,30,D3,02,16,02/16,2024-02-05T00:00:00,8,36,1001399,DD-F11,1kg Nut Muesli,03,09,03,11,48000,48000,ST,4
30,.1~31,31,D3,02,16,02/16,2024-02-05T00:00:00,8,36,1001405,DD-F14,1kg Raisin Muesli,03,11,03,13,48000,48000,ST,4
31,.1~32,32,D3,03,12,03/12,2024-02-21T00:00:00,11,52,1001490,DD-F02,500g Blueberry Muesli,03,13,03,15,47000,47000,ST,4
32,.1~33,33,D3,03,12,03/12,2024-02-21T00:00:00,11,52,1001492,DD-F06,500g Mixed Fruit Muesli,03,15,03,17,41000,41000,ST,4
33,.1~34,34,D3,03,12,03/12,2024-02-21T00:00:00,11,52,1001491,DD-F04,500g Raisin Muesli,03,17,03,19,39000,39000,ST,4
34,.1~35,35,D3,03,18,03/18,2024-02-27T00:00:00,12,58,1001545,DD-F16,1kg Mixed Fruit Muesli,03,19,04,01,48000,48000,ST,4
35,.1~36,36,D3,03,18,03/18,2024-02-27T00:00:00,12,58,1001548,DD-F16,1kg Mixed Fruit Muesli,04,01,04,01,16000,16000,ST,0
36,.1~37,37,D3,03,18,03/18,2024-02-27T00:00:00,12,58,1001556,DD-F11,1kg Nut Muesli,04,02,04,04,48000,48000,ST,4
37,.1~38,38,D3,03,18,03/18,2024-02-27T00:00:00,12,58,1001558,DD-F13,1kg Strawberry Muesli,04,04,04,06,48000,48000,ST,4
38,.1~39,39,D3,03,18,03/18,2024-02-27T00:00:00,12,58,1001557,DD-F12,1kg Blueberry Muesli,04,06,04,08,48000,48000,ST,4
