,ID,ROW_ID,COMPANY_CODE,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,PURCHASING_ORDER,VENDOR,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,QUANTITY,STATUS,UNIT,GOODS_RECEIPT_ROUND,GOODS_RECEIPT_STEP,GOODS_RECEIPT_DATE
0,.1~1,1,D3,01,01,01/01,2024-01-01T00:00:00,1,1,4500000477,V01,DD-R01,Nuts,14800.000,Delivered,KG,01,02,01/02
1,.1~2,2,D3,01,01,01/01,2024-01-01T00:00:00,1,1,4500000477,V01,DD-R02,Blueberries,14800.000,Delivered,KG,01,02,01/02
2,.1~3,3,D3,01,01,01/01,2024-01-01T00:00:00,1,1,4500000477,V01,DD-R03,Strawberries,14800.000,Delivered,KG,01,02,01/02
3,.1~4,4,D3,01,01,01/01,2024-01-01T00:00:00,1,1,4500000477,V01,DD-R04,Raisins,14800.000,Delivered,KG,01,02,01/02
4,.1~5,5,D3,01,01,01/01,2024-01-01T00:00:00,1,1,4500000477,V01,DD-R05,Wheat,62900.000,Delivered,KG,01,02,01/02
5,.1~6,6,D3,01,01,01/01,2024-01-01T00:00:00,1,1,4500000477,V01,DD-R06,Oats,62900.000,Delivered,KG,01,02,01/02
6,.1~7,7,D3,01,01,01/01,2024-01-01T00:00:00,1,1,4500000478,V02,DD-P01,Large Box (1kg),185000,Delivered,ST,01,02,01/02
7,.1~8,8,D3,01,01,01/01,2024-01-01T00:00:00,1,1,4500000478,V02,DD-P02,Large Bag (1kg),185000,Delivered,ST,01,02,01/02
8,.1~9,9,D3,01,04,01/04,2024-01-04T00:00:00,1,4,4500000485,V01,DD-R01,Nuts,7400.000,Delivered,KG,01,05,01/05
9,.1~10,10,D3,01,04,01/04,2024-01-04T00:00:00,1,4,4500000485,V01,DD-R02,Blueberries,7400.000,Delivered,KG,01,05,01/05
10,.1~11,11,D3,01,04,01/04,2024-01-04T00:00:00,1,4,4500000485,V01,DD-R03,Strawberries,7400.000,Delivered,KG,01,05,01/05
11,.1~12,12,D3,01,04,01/04,2024-01-04T00:00:00,1,4,4500000485,V01,DD-R04,Raisins,7400.000,Delivered,KG,01,05,01/05
12,.1~13,13,D3,01,04,01/04,2024-01-04T00:00:00,1,4,4500000485,V01,DD-R05,Wheat,31450.000,Delivered,KG,01,05,01/05
13,.1~14,14,D3,01,04,01/04,2024-01-04T00:00:00,1,4,4500000485,V01,DD-R06,Oats,31450.000,Delivered,KG,01,05,01/05
14,.1~15,15,D3,01,04,01/04,2024-01-04T00:00:00,1,4,4500000486,V02,DD-P03,Small Box (500g),185000,Delivered,ST,01,05,01/05
15,.1~16,16,D3,01,04,01/04,2024-01-04T00:00:00,1,4,4500000486,V02,DD-P04,Small Bag (500g),185000,Delivered,ST,01,05,01/05
16,.1~17,17,D3,01,08,01/08,2024-01-08T00:00:00,2,8,4500000503,V01,DD-R01,Nuts,20800.000,Delivered,KG,01,09,01/09
17,.1~18,18,D3,01,08,01/08,2024-01-08T00:00:00,2,8,4500000503,V01,DD-R02,Blueberries,20800.000,Delivered,KG,01,09,01/09
