,ID,ROW_ID,SALES_ORGANIZATION,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,SALES_ORDER_NUMBER,LINE_ITEM,STORAGE_LOCATION,REGION,AREA,CITY,COUNTRY,POSTAL_CODE,CUSTOMER_NUMBER,DISTRIBUTION_CHANNEL,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,MATERIAL_TYPE,MATERIAL_CODE,MATERIAL_SIZE,MATERIAL_LABEL,QUANTITY,QUANTITY_DELIVERED,UNIT,NET_PRICE,NET_VALUE,COST,CURRENCY,CONTRIBUTION_MARGIN,CONTRIBUTION_MARGIN_PCT
0,.1~317,317,D3,03,12,03/12,2024-02-21T00:00:00,11,52,6084,2,02,Nrth Rhine Westfalia,West,KREFELD,Germany,47798,80157,12,DD-F11,1kg Nut Muesli,Finished Product,F11,1kg,Nut Muesli,2506,2506,ST,8.50,21301.00,4059.72,EUR,17241.28000,0.81
1,.1~195,195,D3,02,12,02/12,2024-02-01T00:00:00,7,32,5473,3,02,Nrth Rhine Westfalia,West,PADERBORN,Germany,33100,80159,12,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,2536,2536,ST,8.40,21302.40,5756.72,EUR,15545.68000,0.73
2,.1~527,527,D3,04,17,04/17,2024-03-17T00:00:00,16,77,6823,4,02,Nrth Rhine Westfalia,West,PADERBORN,Germany,33100,80159,12,DD-F14,1kg Raisin Muesli,Finished Product,F14,1kg,Raisin Muesli,2820,2820,ST,7.20,20304.00,3919.80,EUR,16384.20000,0.81
3,.1~526,526,D3,04,17,04/17,2024-03-17T00:00:00,16,77,6823,1,02,Nrth Rhine Westfalia,West,PADERBORN,Germany,33100,80159,12,DD-F13,1kg Strawberry Muesli,Finished Product,F13,1kg,Strawberry Muesli,2812,2812,ST,7.50,21090.00,6411.36,EUR,14678.64000,0.70
4,.1~525,525,D3,04,17,04/17,2024-03-17T00:00:00,16,77,6823,2,02,Nrth Rhine Westfalia,West,PADERBORN,Germany,33100,80159,12,DD-F13,1kg Strawberry Muesli,Finished Product,F13,1kg,Strawberry Muesli,3512,3512,ST,7.50,26340.00,8007.36,EUR,18332.64000,0.70
5,.1~524,524,D3,04,17,04/17,2024-03-17T00:00:00,16,77,6823,3,02,Nrth Rhine Westfalia,West,PADERBORN,Germany,33100,80159,12,DD-F13,1kg Strawberry Muesli,Finished Product,F13,1kg,Strawberry Muesli,2906,2906,ST,7.50,21795.00,6625.68,EUR,15169.32000,0.70
6,.1~446,446,D3,04,06,04/06,2024-03-06T00:00:00,14,66,6501,1,02,Nrth Rhine Westfalia,West,PADERBORN,Germany,33100,80159,12,DD-F13,1kg Strawberry Muesli,Finished Product,F13,1kg,Strawberry Muesli,2895,2895,ST,7.25,20988.75,6600.60,EUR,14388.15000,0.69
7,.1~445,445,D3,04,06,04/06,2024-03-06T00:00:00,14,66,6501,2,02,Nrth Rhine Westfalia,West,PADERBORN,Germany,33100,80159,12,DD-F13,1kg Strawberry Muesli,Finished Product,F13,1kg,Strawberry Muesli,3490,3490,ST,7.25,25302.50,7957.20,EUR,17345.30000,0.69
8,.1~444,444,D3,04,06,04/06,2024-03-06T00:00:00,14,66,6501,3,02,Nrth Rhine Westfalia,West,PADERBORN,Germany,33100,80159,12,DD-F11,1kg Nut Muesli,Finished Product,F11,1kg,Nut Muesli,2559,2559,ST,8.00,20472.00,4145.58,EUR,16326.42000,0.80
9,.1~443,443,D3,04,06,04/06,2024-03-06T00:00:00,14,66,6501,4,02,Nrth Rhine Westfalia,West,PADERBORN,Germany,33100,80159,12,DD-F11,1kg Nut Muesli,Finished Product,F11,1kg,Nut Muesli,2888,2888,ST,8.00,23104.00,4678.56,EUR,18425.44000,0.80
10,.1~197,197,D3,02,12,02/12,2024-02-01T00:00:00,7,32,5473,2,02,Nrth Rhine Westfalia,West,PADERBORN,Germany,33100,80159,12,DD-F13,1kg Strawberry Muesli,Finished Product,F13,1kg,Strawberry Muesli,3067,3067,ST,8.15,24996.05,6992.76,EUR,18003.29000,0.72
11,.1~196,196,D3,02,12,02/12,2024-02-01T00:00:00,7,32,5473,1,02,Nrth Rhine Westfalia,West,PADERBORN,Germany,33100,80159,12,DD-F13,1kg Strawberry Muesli,Finished Product,F13,1kg,Strawberry Muesli,3229,3229,ST,8.15,26316.35,7362.12,EUR,18954.23000,0.72
12,.1~18,18,D3,01,07,01/07,2024-01-07T00:00:00,2,7,4722,1,02,Nrth Rhine Westfalia,West,VELBERT,Germany,42551,80161,12,DD-F11,1kg Nut Muesli,Finished Product,F11,1kg,Nut Muesli,2241,2241,ST,9.01,20191.41,3630.42,EUR,16560.99000,0.82
13,.1~494,494,D3,04,13,04/13,2024-03-13T00:00:00,15,73,6704,1,02,Nrth Rhine Westfalia,West,VELBERT,Germany,42551,80161,12,DD-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,3042,3042,ST,7.00,21294.00,6296.94,EUR,14997.06000,0.70
14,.1~493,493,D3,04,13,04/13,2024-03-13T00:00:00,15,73,6704,2,02,Nrth Rhine Westfalia,West,VELBERT,Germany,42551,80161,12,DD-F14,1kg Raisin Muesli,Finished Product,F14,1kg,Raisin Muesli,3141,3141,ST,7.40,23243.40,4365.99,EUR,18877.41000,0.81
15,.1~492,492,D3,04,13,04/13,2024-03-13T00:00:00,15,73,6704,3,02,Nrth Rhine Westfalia,West,VELBERT,Germany,42551,80161,12,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,1256,1256,ST,7.40,9294.40,2851.12,EUR,6443.28000,0.69
16,.1~433,433,D3,04,04,04/04,2024-03-04T00:00:00,13,64,6434,3,02,Nrth Rhine Westfalia,West,VELBERT,Germany,42551,80161,12,DD-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,2965,2965,ST,7.20,21348.00,6137.55,EUR,15210.45000,0.71
17,.1~432,432,D3,04,04,04/04,2024-03-04T00:00:00,13,64,6434,2,02,Nrth Rhine Westfalia,West,VELBERT,Germany,42551,80161,12,DD-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,2861,2861,ST,7.20,20599.20,5922.27,EUR,14676.93000,0.71
18,.1~431,431,D3,04,04,04/04,2024-03-04T00:00:00,13,64,6434,1,02,Nrth Rhine Westfalia,West,VELBERT,Germany,42551,80161,12,DD-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,2872,2872,ST,7.20,20678.40,5945.04,EUR,14733.36000,0.71
19,.1~426,426,D3,04,04,04/04,2024-03-04T00:00:00,13,64,6434,4,02,Nrth Rhine Westfalia,West,VELBERT,Germany,42551,80161,12,DD-F04,500g Raisin Muesli,Finished Product,F04,500g,Raisin Muesli,4351,4351,ST,5.15,22407.65,3437.29,EUR,18970.36000,0.85
20,.1~166,166,D3,02,08,02/08,2024-01-28T00:00:00,6,28,5359,1,02,Nrth Rhine Westfalia,West,VELBERT,Germany,42551,80161,12,DD-F13,1kg Strawberry Muesli,Finished Product,F13,1kg,Strawberry Muesli,2544,2544,ST,8.23,20937.12,5800.32,EUR,15136.80000,0.72
21,.1~268,268,D3,03,05,03/05,2024-02-14T00:00:00,9,45,5867,1,02,Nrth Rhine Westfalia,West,BAD OEYNHAUSEN,Germany,32547,80148,12,DD-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,2923,2923,ST,8.20,23968.60,6050.61,EUR,17917.99000,0.75
22,.1~266,266,D3,03,05,03/05,2024-02-14T00:00:00,9,45,5867,2,02,Nrth Rhine Westfalia,West,BAD OEYNHAUSEN,Germany,32547,80148,12,DD-F06,500g Mixed Fruit Muesli,Finished Product,F06,500g,Mixed Fruit Muesli,5220,5220,ST,5.00,26100.00,5898.60,EUR,20201.40000,0.77
23,.1~119,119,D3,02,02,02/02,2024-01-22T00:00:00,5,22,5169,1,02,Nrth Rhine Westfalia,West,BAD OEYNHAUSEN,Germany,32547,80148,12,DD-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,2959,2959,ST,8.06,23849.54,6125.13,EUR,17724.41000,0.74
24,.1~118,118,D3,02,02,02/02,2024-01-22T00:00:00,5,22,5169,3,02,Nrth Rhine Westfalia,West,BAD OEYNHAUSEN,Germany,32547,80148,12,DD-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,2718,2718,ST,8.06,21907.08,5626.26,EUR,16280.82000,0.74
25,.1~117,117,D3,02,02,02/02,2024-01-22T00:00:00,5,22,5169,4,02,Nrth Rhine Westfalia,West,BAD OEYNHAUSEN,Germany,32547,80148,12,DD-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,2786,2786,ST,8.06,22455.16,5767.02,EUR,16688.14000,0.74
26,.1~76,76,D3,01,19,01/19,2024-01-19T00:00:00,4,19,5083,3,02,Nrth Rhine Westfalia,West,BRÜHL,Germany,50321,80149,12,DD-F02,500g Blueberry Muesli,Finished Product,F02,500g,Blueberry Muesli,3417,3417,ST,6.13,20946.21,4202.91,EUR,16743.30000,0.80
27,.1~82,82,D3,01,19,01/19,2024-01-19T00:00:00,4,19,5083,2,02,Nrth Rhine Westfalia,West,BRÜHL,Germany,50321,80149,12,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,2268,2268,ST,8.00,18144.00,5148.36,EUR,12995.64000,0.72
28,.1~81,81,D3,01,19,01/19,2024-01-19T00:00:00,4,19,5083,1,02,Nrth Rhine Westfalia,West,BRÜHL,Germany,50321,80149,12,DD-F04,500g Raisin Muesli,Finished Product,F04,500g,Raisin Muesli,3865,3865,ST,6.12,23653.80,3053.35,EUR,20600.45000,0.87
29,.1~125,125,D3,02,03,02/03,2024-01-23T00:00:00,5,23,5212,2,02,Nrth Rhine Westfalia,West,GELSENKIRCHEN,Germany,45879,80154,12,DD-F04,500g Raisin Muesli,Finished Product,F04,500g,Raisin Muesli,4516,4516,ST,5.77,26057.32,3567.64,EUR,22489.68000,0.86
30,.1~280,280,D3,03,06,03/06,2024-02-15T00:00:00,10,46,5888,4,02,Nrth Rhine Westfalia,West,GELSENKIRCHEN,Germany,45879,80154,12,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,2826,2826,ST,8.40,23738.40,6415.02,EUR,17323.38000,0.73
31,.1~279,279,D3,03,06,03/06,2024-02-15T00:00:00,10,46,5888,3,02,Nrth Rhine Westfalia,West,GELSENKIRCHEN,Germany,45879,80154,12,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,2652,2652,ST,8.40,22276.80,6020.04,EUR,16256.76000,0.73
32,.1~278,278,D3,03,06,03/06,2024-02-15T00:00:00,10,46,5888,1,02,Nrth Rhine Westfalia,West,GELSENKIRCHEN,Germany,45879,80154,12,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,3116,3116,ST,8.40,26174.40,7073.32,EUR,19101.08000,0.73
33,.1~277,277,D3,03,06,03/06,2024-02-15T00:00:00,10,46,5888,2,02,Nrth Rhine Westfalia,West,GELSENKIRCHEN,Germany,45879,80154,12,DD-F04,500g Raisin Muesli,Finished Product,F04,500g,Raisin Muesli,4514,4514,ST,5.15,23247.10,3566.06,EUR,19681.04000,0.85
34,.1~131,131,D3,02,03,02/03,2024-01-23T00:00:00,5,23,5212,1,02,Nrth Rhine Westfalia,West,GELSENKIRCHEN,Germany,45879,80154,12,DD-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,3066,3066,ST,8.06,24711.96,6346.62,EUR,18365.34000,0.74
35,.1~130,130,D3,02,03,02/03,2024-01-23T00:00:00,5,23,5212,3,02,Nrth Rhine Westfalia,West,GELSENKIRCHEN,Germany,45879,80154,12,DD-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,2796,2796,ST,8.06,22535.76,5787.72,EUR,16748.04000,0.74
36,.1~129,129,D3,02,03,02/03,2024-01-23T00:00:00,5,23,5212,4,02,Nrth Rhine Westfalia,West,GELSENKIRCHEN,Germany,45879,80154,12,DD-F16,1kg Mixed Fruit Muesli,Finished Product,F16,1kg,Mixed Fruit Muesli,3025,3025,ST,8.06,24381.50,6261.75,EUR,18119.75000,0.74
37,.1~62,62,D3,01,13,01/13,2024-01-13T00:00:00,3,13,4910,2,02,Nrth Rhine Westfalia,West,HERFORD,Germany,32052,80155,12,DD-F13,1kg Strawberry Muesli,Finished Product,F13,1kg,Strawberry Muesli,2581,2581,ST,9.17,23667.77,5884.68,EUR,17783.09000,0.75
38,.1~66,66,D3,01,13,01/13,2024-01-13T00:00:00,3,13,4910,3,02,Nrth Rhine Westfalia,West,HERFORD,Germany,32052,80155,12,DD-F14,1kg Raisin Muesli,Finished Product,F14,1kg,Raisin Muesli,2298,2298,ST,7.78,17878.44,3194.22,EUR,14684.22000,0.82
39,.1~63,63,D3,01,13,01/13,2024-01-13T00:00:00,3,13,4910,1,02,Nrth Rhine Westfalia,West,HERFORD,Germany,32052,80155,12,DD-F13,1kg Strawberry Muesli,Finished Product,F13,1kg,Strawberry Muesli,2535,2535,ST,9.17,23245.95,5779.80,EUR,17466.15000,0.75
40,.1~314,314,D3,03,12,03/12,2024-02-21T00:00:00,11,52,6084,4,02,Nrth Rhine Westfalia,West,KREFELD,Germany,47798,80157,12,DD-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,5165,5165,ST,5.10,26341.50,4648.50,EUR,21693.00000,0.82
41,.1~323,323,D3,03,12,03/12,2024-02-21T00:00:00,11,52,6084,3,02,Nrth Rhine Westfalia,West,KREFELD,Germany,47798,80157,12,DD-F13,1kg Strawberry Muesli,Finished Product,F13,1kg,Strawberry Muesli,3109,3109,ST,7.00,21763.00,7088.52,EUR,14674.48000,0.67
42,.1~321,321,D3,03,12,03/12,2024-02-21T00:00:00,11,52,6084,1,02,Nrth Rhine Westfalia,West,KREFELD,Germany,47798,80157,12,DD-F13,1kg Strawberry Muesli,Finished Product,F13,1kg,Strawberry Muesli,3712,3712,ST,7.00,25984.00,8463.36,EUR,17520.64000,0.67
43,.1~150,150,D3,02,07,02/07,2024-01-27T00:00:00,6,27,5332,1,02,Nrth Rhine Westfalia,West,DÜREN,Germany,52349,80109,10,DD-F11,1kg Nut Muesli,Finished Product,F11,1kg,Nut Muesli,2998,2998,ST,7.81,23414.38,4856.76,EUR,18557.62000,0.79
44,.1~149,149,D3,02,07,02/07,2024-01-27T00:00:00,6,27,5332,2,02,Nrth Rhine Westfalia,West,DÜREN,Germany,52349,80109,10,DD-F11,1kg Nut Muesli,Finished Product,F11,1kg,Nut Muesli,2972,2972,ST,7.81,23211.32,4814.64,EUR,18396.68000,0.79
45,.1~49,49,D3,01,12,01/12,2024-01-12T00:00:00,3,12,4882,2,02,Nrth Rhine Westfalia,West,DÜREN,Germany,52349,80109,10,DD-F13,1kg Strawberry Muesli,Finished Product,F13,1kg,Strawberry Muesli,2528,2528,ST,8.77,22170.56,5763.84,EUR,16406.72000,0.74
46,.1~344,344,D3,03,14,03/14,2024-02-23T00:00:00,11,54,6142,3,02,Nrth Rhine Westfalia,West,WÜRSELEN,Germany,52146,80162,12,DD-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,2309,2309,ST,5.10,11775.90,2078.10,EUR,9697.80000,0.82
47,.1~553,553,D3,04,20,04/20,2024-03-20T00:00:00,16,80,6925,2,02,Nrth Rhine Westfalia,West,WÜRSELEN,Germany,52146,80162,12,DD-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,3134,3134,ST,7.40,23191.60,7114.18,EUR,16077.42000,0.69
48,.1~550,550,D3,04,20,04/20,2024-03-20T00:00:00,16,80,6925,3,02,Nrth Rhine Westfalia,West,WÜRSELEN,Germany,52146,80162,12,DD-F11,1kg Nut Muesli,Finished Product,F11,1kg,Nut Muesli,3225,3225,ST,8.00,25800.00,5224.50,EUR,20575.50000,0.80
49,.1~549,549,D3,04,20,04/20,2024-03-20T00:00:00,16,80,6925,1,02,Nrth Rhine Westfalia,West,WÜRSELEN,Germany,52146,80162,12,DD-F11,1kg Nut Muesli,Finished Product,F11,1kg,Nut Muesli,2491,2491,ST,8.00,19928.00,4035.42,EUR,15892.58000,0.80
50,.1~523,523,D3,04,16,04/16,2024-03-16T00:00:00,16,76,6800,2,02,Nrth Rhine Westfalia,West,WÜRSELEN,Germany,52146,80162,12,DD-F14,1kg Raisin Muesli,Finished Product,F14,1kg,Raisin Muesli,2978,2978,ST,7.20,21441.60,4139.42,EUR,17302.18000,0.81
51,.1~522,522,D3,04,16,04/16,2024-03-16T00:00:00,16,76,6800,4,02,Nrth Rhine Westfalia,West,WÜRSELEN,Germany,52146,80162,12,DD-F14,1kg Raisin Muesli,Finished Product,F14,1kg,Raisin Muesli,3240,3240,ST,7.20,23328.00,4503.60,EUR,18824.40000,0.81
52,.1~521,521,D3,04,16,04/16,2024-03-16T00:00:00,16,76,6800,1,02,Nrth Rhine Westfalia,West,WÜRSELEN,Germany,52146,80162,12,DD-F13,1kg Strawberry Muesli,Finished Product,F13,1kg,Strawberry Muesli,3035,3035,ST,7.25,22003.75,6919.80,EUR,15083.95000,0.69
53,.1~520,520,D3,04,16,04/16,2024-03-16T00:00:00,16,76,6800,3,02,Nrth Rhine Westfalia,West,WÜRSELEN,Germany,52146,80162,12,DD-F05,500g Original Muesli,Finished Product,F05,500g,Original Muesli,5170,5170,ST,5.00,25850.00,4032.60,EUR,21817.40000,0.84
54,.1~352,352,D3,03,14,03/14,2024-02-23T00:00:00,11,54,6142,2,02,Nrth Rhine Westfalia,West,WÜRSELEN,Germany,52146,80162,12,DD-F14,1kg Raisin Muesli,Finished Product,F14,1kg,Raisin Muesli,3386,3386,ST,6.90,23363.40,4706.54,EUR,18656.86000,0.80
55,.1~351,351,D3,03,14,03/14,2024-02-23T00:00:00,11,54,6142,4,02,Nrth Rhine Westfalia,West,WÜRSELEN,Germany,52146,80162,12,DD-F14,1kg Raisin Muesli,Finished Product,F14,1kg,Raisin Muesli,3037,3037,ST,6.90,20955.30,4221.43,EUR,16733.87000,0.80
