,ID,ROW_ID,PURCHASING_ORGANIZATION,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,MATERIAL_TYPE,VENDOR_CODE,VENDOR_NAME,NET_PRICE,CURRENCY
0,.1~1,1,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
1,.1~2,2,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
2,.1~3,3,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
3,.1~4,4,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
4,.1~5,5,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-R01,Nuts,Raw materials,V01,Foodbroker Inc.,1.82,EUR
5,.1~6,6,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-R02,Blueberries,Raw materials,V01,Foodbroker Inc.,4.00,EUR
6,.1~7,7,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-R03,Strawberries,Raw materials,V01,Foodbroker Inc.,4.02,EUR
7,.1~8,8,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-R04,Raisins,Raw materials,V01,Foodbroker Inc.,1.07,EUR
8,.1~9,9,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-R05,Wheat,Raw materials,V01,Foodbroker Inc.,0.99,EUR
9,.1~10,10,D3,01,01,01/01,2024-01-01T00:00:00,1,1,DD-R06,Oats,Raw materials,V01,Foodbroker Inc.,0.92,EUR
10,.1~11,11,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-P01,Large Box (1kg),Raw materials,V02,Continental Printing Co.,0.28,EUR
11,.1~12,12,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-P02,Large Bag (1kg),Raw materials,V02,Continental Printing Co.,0.12,EUR
12,.1~13,13,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-P03,Small Box (500g),Raw materials,V02,Continental Printing Co.,0.21,EUR
13,.1~14,14,D3,01,02,01/02,2024-01-02T00:00:00,1,2,DD-P04,Small Bag (500g),Raw materials,V02,Continental Printing Co.,0.09,EUR
