,ID,ROW_ID,PLANT,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,MATERIAL_NUMBER,ITEM,COMPONENT,MATERIAL_DESCRIPTION,QUANTITY,UNIT,USER_NAME,CHANGE_TIME
0,.1~1,1,C2,01,15,01/15,2024-01-15T00:00:00,3,14,CC-F03,00000001,CC-P04,Small Bag (500g),1,ST,C_3,PT14H26M42S
1,.1~2,2,C2,01,15,01/15,2024-01-15T00:00:00,3,14,CC-F03,00000002,CC-P03,Small Box (500g),1,ST,C_3,PT14H26M42S
2,.1~3,3,C2,01,15,01/15,2024-01-15T00:00:00,3,14,CC-F03,00000003,CC-R06,Oats,0.175,KG,C_3,PT14H26M42S
3,.1~4,4,C2,01,15,01/15,2024-01-15T00:00:00,3,14,CC-F03,00000004,CC-R05,Wheat,0.150,KG,C_3,PT14H26M42S
4,.1~5,5,C2,01,15,01/15,2024-01-15T00:00:00,3,14,CC-F03,00000005,CC-R03,Strawberries,0.175,KG,C_3,PT14H26M42S
5,.1~6,6,C2,01,17,01/17,2024-01-17T00:00:00,4,16,CC-F01,00000001,CC-P04,Small Bag (500g),1,ST,C_3,PT14H28M21S
6,.1~7,7,C2,01,17,01/17,2024-01-17T00:00:00,4,16,CC-F01,00000002,CC-P03,Small Box (500g),1,ST,C_3,PT14H28M21S
7,.1~8,8,C2,01,17,01/17,2024-01-17T00:00:00,4,16,CC-F01,00000003,CC-R06,Oats,0.175,KG,C_3,PT14H28M21S
8,.1~9,9,C2,01,17,01/17,2024-01-17T00:00:00,4,16,CC-F01,00000004,CC-R05,Wheat,0.150,KG,C_3,PT14H28M21S
9,.1~10,10,C2,01,17,01/17,2024-01-17T00:00:00,4,16,CC-F01,00000005,CC-R01,Nuts,0.175,KG,C_3,PT14H28M21S
10,.1~11,11,C2,02,04,02/04,2024-01-24T00:00:00,5,23,CC-F02,00000001,CC-P04,Small Bag (500g),1,ST,C_3,PT14H40M04S
11,.1~12,12,C2,02,04,02/04,2024-01-24T00:00:00,5,23,CC-F02,00000002,CC-P03,Small Box (500g),1,ST,C_3,PT14H40M04S
12,.1~13,13,C2,02,04,02/04,2024-01-24T00:00:00,5,23,CC-F02,00000003,CC-R06,Oats,0.175,KG,C_3,PT14H40M04S
13,.1~14,14,C2,02,04,02/04,2024-01-24T00:00:00,5,23,CC-F02,00000004,CC-R05,Wheat,0.150,KG,C_3,PT14H40M04S
14,.1~15,15,C2,02,04,02/04,2024-01-24T00:00:00,5,23,CC-F02,00000005,CC-R02,Blueberries,0.175,KG,C_3,PT14H40M04S
