,ID,ROW_ID,COMPANY_CODE,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,BANK_CASH_ACCOUNT,ACCOUNTS_RECEIVABLE,BANK_LOAN,ACCOUNTS_PAYABLE,PROFIT,SETUP_TIME_INVESTMENT,DEBT_LOADING,CREDIT_RATING,COMPANY_RISK_RATE_PCT,MARKET_RISK_RATE_PCT,COMPANY_VALUATION,DEBT_LOADING_UNADJUSTED,CREDIT_RATING_UNADJUSTED,COMPANY_RISK_RATE_UNADJUSTED,COMPANY_VALUATION_UNADJUSTED,CURRENCY
0,.1~1,1,C2,01,01,01/01,2024-01-01T00:00:00,1,1,0.00,0.00,-8500000.00,0.00,-500000.00,500000.00,-8500000.00,BBB,6.00,7.00,-3846153.85,0.00,,0.00,0.00,EUR
1,.1~2,2,C2,01,02,01/02,2024-01-02T00:00:00,1,2,0.00,0.00,-8500000.00,-469528.00,-500000.00,500000.00,-8969528.00,BBB,6.00,7.00,-3846153.85,0.00,,0.00,0.00,EUR
2,.1~3,3,C2,01,03,01/03,2024-01-03T00:00:00,1,3,0.00,0.00,-8500000.00,-469528.00,-500188.50,500000.00,-8969528.00,BBB,6.00,7.00,-3962153.85,0.00,,0.00,0.00,EUR
3,.1~4,4,C2,01,04,01/04,2024-01-04T00:00:00,1,4,0.00,49373.56,-8500000.00,-469528.00,-458032.24,500000.00,-8920154.44,BBB,6.00,7.00,15523581.54,0.00,,0.00,0.00,EUR
4,.1~5,5,C2,01,05,01/05,2024-01-05T00:00:00,1,5,-75000.00,59495.60,-8515094.65,-469528.00,-595032.30,500000.00,-9000127.05,BBB-,6.25,7.00,-38200380.38,0.00,,0.00,0.00,EUR
5,.1~6,6,C2,01,06,01/06,2024-01-06T00:00:00,2,6,0.00,133782.87,-8590094.65,-469528.00,-534190.47,500000.00,-8925839.78,BBB,6.00,7.00,-14366298.46,0.00,,0.00,0.00,EUR
6,.1~7,7,C2,01,07,01/07,2024-01-07T00:00:00,2,7,4936.80,188712.45,-8590094.65,-469528.00,-484488.62,500000.00,-8865973.40,BBB,6.00,7.00,244759.56,0.00,,0.00,0.00,EUR
7,.1~8,8,C2,01,08,01/08,2024-01-08T00:00:00,2,8,4936.80,379663.38,-8590094.65,-469528.00,-334144.52,500000.00,-8675022.47,BBB,6.00,7.00,34428187.69,0.00,,0.00,0.00,EUR
8,.1~9,9,C2,01,09,01/09,2024-01-09T00:00:00,2,9,4936.80,583204.57,-8590094.65,-469528.00,-172086.18,500000.00,-8471481.28,BBB,6.00,7.00,63418219.49,0.00,,0.00,0.00,EUR
9,.1~10,10,C2,01,10,01/10,2024-01-10T00:00:00,2,10,-66199.44,747750.44,-8600648.57,-908504.00,-185856.48,500000.00,-8827601.57,BBB,6.00,7.00,54149572.92,0.00,,0.00,0.00,EUR
10,.1~11,11,C2,01,11,01/11,2024-01-11T00:00:00,3,11,8349.04,959054.27,-8666848.01,-908504.00,-16983.15,500000.00,-8607948.70,BBB,6.00,7.00,77219611.19,0.00,,0.00,0.00,EUR
11,.1~12,12,C2,01,12,01/12,2024-01-12T00:00:00,3,12,12816.52,1112090.99,-8666848.01,-908504.00,97332.24,500000.00,-8450444.50,BBB,6.00,7.00,88051113.85,0.00,,0.00,0.00,EUR
