,ID,ROW_ID,PLANT,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,STORAGE_LOCATION,STOCK,RESTRICTED,UNIT
0,.1~1,1,C2,CC-F01,500g Nut Muesli,02,0,0,ST
1,.1~2,2,C2,CC-F02,500g Blueberry Muesli,02,0,0,ST
2,.1~3,3,C2,CC-F03,500g Strawberry Muesli,02,0,0,ST
3,.1~4,4,C2,CC-F04,500g Raisin Muesli,02,0,0,ST
4,.1~5,5,C2,CC-F05,500g Original Muesli,02,0,0,ST
5,.1~6,6,C2,CC-F06,500g Mixed Fruit Muesli,02,0,0,ST
6,.1~7,7,C2,CC-F11,1kg Nut Muesli,02,26000,0,ST
7,.1~8,8,C2,CC-F12,1kg Blueberry Muesli,02,0,0,ST
8,.1~9,9,C2,CC-F13,1kg Strawberry Muesli,02,51146,0,ST
9,.1~10,10,C2,CC-F14,1kg Raisin Muesli,02,20908,0,ST
10,.1~11,11,C2,CC-F15,1kg Original Muesli,02,0,0,ST
11,.1~12,12,C2,CC-F16,1kg Mixed Fruit Muesli,02,0,0,ST
12,.1~13,13,C2,CC-P01,Large Box (1kg),88,143010,143010,ST
13,.1~14,14,C2,CC-P02,Large Bag (1kg),88,143010,143010,ST
14,.1~15,15,C2,CC-P03,Small Box (500g),88,197000,197000,ST
15,.1~16,16,C2,CC-P04,Small Bag (500g),88,197000,197000,ST
16,.1~17,17,C2,CC-R01,Nuts,88,18553.000,18553.000,KG
17,.1~18,18,C2,CC-R02,Blueberries,88,40850.000,40850.000,KG
18,.1~19,19,C2,CC-R03,Strawberries,88,2650.000,2650.000,KG
19,.1~20,20,C2,CC-R04,Raisins,88,14650.000,14650.000,KG
20,.1~21,21,C2,CC-R05,Wheat,88,81603.500,81603.500,KG
21,.1~22,22,C2,CC-R06,Oats,88,83203.500,83203.500,KG
