,ID,ROW_ID,COMPANY_CODE,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,GL_ACCOUNT_NUMBER,GL_ACCOUNT_NAME,FS_LEVEL_1,FS_LEVEL_2,FS_LEVEL_3,FS_LEVEL_4,DEBIT_CREDIT_INDICATOR,AMOUNT_ABS,AMOUNT,AMOUNT_INV,AMOUNT_BS,AMOUNT_IS,CURRENCY
0,.1~1,1,C2,01,01,01/01,2024-01-01T00:00:00,1,1,1000,Land,Balance Sheet,Assets,Long-Term Assets,,Debit,500000.00,500000.00,-500000.00,500000.00,0.00,EUR
1,.1~2,2,C2,01,01,01/01,2024-01-01T00:00:00,1,1,2000,Buildings,Balance Sheet,Assets,Long-Term Assets,,Debit,1500000.00,1500000.00,-1500000.00,1500000.00,0.00,EUR
2,.1~3,3,C2,01,01,01/01,2024-01-01T00:00:00,1,1,11000,Machinery and equipment,Balance Sheet,Assets,Long-Term Assets,,Debit,26000000.00,26000000.00,-26000000.00,26000000.00,0.00,EUR
3,.1~4,4,C2,01,01,01/01,2024-01-01T00:00:00,1,1,70000,Common stock,Balance Sheet,Liabilities and Owners' Equity,Equity,Shareholders Equity,Credit,20000000.00,-20000000.00,20000000.00,-20000000.00,0.00,EUR
4,.1~5,5,C2,01,01,01/01,2024-01-01T00:00:00,1,1,113101,Bank Loan,Balance Sheet,Liabilities and Owners' Equity,Liabilities,Current Liabilities,Credit,8500000.00,-8500000.00,8500000.00,-8500000.00,0.00,EUR
5,.1~6,6,C2,01,01,01/01,2024-01-01T00:00:00,1,1,113300,Bank Cash Account,Balance Sheet,Assets,Current Assets,,Credit,28500000.00,-28500000.00,28500000.00,-28500000.00,0.00,EUR
6,.1~7,7,C2,01,01,01/01,2024-01-01T00:00:00,1,1,113300,Bank Cash Account,Balance Sheet,Assets,Current Assets,,Debit,28500000.00,28500000.00,-28500000.00,28500000.00,0.00,EUR
7,.1~8,8,C2,01,01,01/01,2024-01-01T00:00:00,1,1,478000,Lean Manufacturing Program Expenses,Income Statement,"Sales, General, and Administrative Expenses",Production Improvement Expenses,,Debit,500000.00,500000.00,-500000.00,0.00,-500000.00,EUR
8,.1~9,9,C2,01,02,01/02,2024-01-02T00:00:00,1,2,160000,Accounts payable-domestic,Balance Sheet,Liabilities and Owners' Equity,Liabilities,Current Liabilities,Credit,469528.00,-469528.00,469528.00,-469528.00,0.00,EUR
9,.1~10,10,C2,01,02,01/02,2024-01-02T00:00:00,1,2,191100,GR/IR Clearing - External procurement,Balance Sheet,Liabilities and Owners' Equity,Liabilities,Current Liabilities,Credit,469528.00,-469528.00,469528.00,-469528.00,0.00,EUR
10,.1~11,11,C2,01,02,01/02,2024-01-02T00:00:00,1,2,191100,GR/IR Clearing - External procurement,Balance Sheet,Liabilities and Owners' Equity,Liabilities,Current Liabilities,Debit,469528.00,469528.00,-469528.00,469528.00,0.00,EUR
11,.1~12,12,C2,01,02,01/02,2024-01-02T00:00:00,1,2,300000,Raw materials,Balance Sheet,Assets,Current Assets,,Debit,469528.00,469528.00,-469528.00,469528.00,0.00,EUR
12,.1~13,13,C2,01,03,01/03,2024-01-03T00:00:00,1,3,300000,Raw materials,Balance Sheet,Assets,Current Assets,,Credit,23588.50,-23588.50,23588.50,-23588.50,0.00,EUR
13,.1~14,14,C2,01,03,01/03,2024-01-03T00:00:00,1,3,400000,Consumption Raw Materials,Income Statement,Inventory Change,,,Debit,23588.50,23588.50,-23588.50,0.00,-23588.50,EUR
14,.1~15,15,C2,01,03,01/03,2024-01-03T00:00:00,1,3,792000,Finished goods,Balance Sheet,Assets,Current Assets,,Debit,23400.00,23400.00,-23400.00,23400.00,0.00,EUR
15,.1~16,16,C2,01,03,01/03,2024-01-03T00:00:00,1,3,895000,Total Finished Products Produced,Income Statement,Inventory Change,,,Credit,23400.00,-23400.00,23400.00,0.00,23400.00,EUR
16,.1~17,17,C2,01,04,01/04,2024-01-04T00:00:00,1,4,140000,Customers - Domestic Receivables,Balance Sheet,Assets,Current Assets,,Debit,49373.56,49373.56,-49373.56,49373.56,0.00,EUR
17,.1~18,18,C2,01,04,01/04,2024-01-04T00:00:00,1,4,300000,Raw materials,Balance Sheet,Assets,Current Assets,,Credit,19959.50,-19959.50,19959.50,-19959.50,0.00,EUR
18,.1~19,19,C2,01,04,01/04,2024-01-04T00:00:00,1,4,400000,Consumption Raw Materials,Income Statement,Inventory Change,,,Debit,19959.50,19959.50,-19959.50,0.00,-19959.50,EUR
19,.1~20,20,C2,01,04,01/04,2024-01-04T00:00:00,1,4,792000,Finished goods,Balance Sheet,Assets,Current Assets,,Credit,7057.80,-7057.80,7057.80,-7057.80,0.00,EUR
20,.1~21,21,C2,01,04,01/04,2024-01-04T00:00:00,1,4,792000,Finished goods,Balance Sheet,Assets,Current Assets,,Debit,19800.00,19800.00,-19800.00,19800.00,0.00,EUR
21,.1~22,22,C2,01,04,01/04,2024-01-04T00:00:00,1,4,800000,Sales revenues - domestic,Income Statement,Revenues,,,Credit,49373.56,-49373.56,49373.56,0.00,49373.56,EUR
22,.1~23,23,C2,01,04,01/04,2024-01-04T00:00:00,1,4,893010,Total fin.prod. sold,Income Statement,Cost of Goods Sold,,,Debit,7057.80,7057.80,-7057.80,0.00,-7057.80,EUR
23,.1~24,24,C2,01,04,01/04,2024-01-04T00:00:00,1,4,895000,Total Finished Products Produced,Income Statement,Inventory Change,,,Credit,19800.00,-19800.00,19800.00,0.00,19800.00,EUR
24,.1~25,25,C2,01,05,01/05,2024-01-05T00:00:00,1,5,2010,Accumulated Depreciation - Buildings,Balance Sheet,Assets,Long-Term Assets,,Credit,1250.00,-1250.00,1250.00,-1250.00,0.00,EUR
