,ID,ROW_ID,PLANT,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,EVENT_TYPE,DOCUMENT_TYPE,MOVEMENT_TYPE,STORAGE_LOCATION,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,MATERIAL_TYPE,MATERIAL_CODE,MATERIAL_SIZE,MATERIAL_LABEL,MATERIAL_DOCUMENT,DEBIT_CREDIT_INDICATOR,UNIT,QUANTITY_ABS,QUANTITY
0,.1~1,1,C2,01,02,01/02,2024-01-02T00:00:00,1,2,Goods Receipt for Purchase Order,Goods Receipt,GR goods receipt,88,CC-P01,Large Box (1kg),Raw materials,P01,1kg,Large Box,5000000223,Debit,ST,192000,192000
1,.1~2,2,C2,01,02,01/02,2024-01-02T00:00:00,1,2,Goods Receipt for Purchase Order,Goods Receipt,GR goods receipt,88,CC-P02,Large Bag (1kg),Raw materials,P02,1kg,Large Bag,5000000223,Debit,ST,192000,192000
2,.1~3,3,C2,01,02,01/02,2024-01-02T00:00:00,1,2,Goods Receipt for Purchase Order,Goods Receipt,GR goods receipt,88,CC-P03,Small Box (500g),Raw materials,P03,500g,Small Box,5000000223,Debit,ST,96000,96000
3,.1~4,4,C2,01,02,01/02,2024-01-02T00:00:00,1,2,Goods Receipt for Purchase Order,Goods Receipt,GR goods receipt,88,CC-P04,Small Bag (500g),Raw materials,P04,500g,Small Bag,5000000223,Debit,ST,96000,96000
4,.1~5,5,C2,01,02,01/02,2024-01-02T00:00:00,1,2,Goods Receipt for Purchase Order,Goods Receipt,GR goods receipt,88,CC-R01,Nuts,Raw materials,R01,,Nuts,5000000220,Debit,KG,13600.000,13600.000
5,.1~6,6,C2,01,02,01/02,2024-01-02T00:00:00,1,2,Goods Receipt for Purchase Order,Goods Receipt,GR goods receipt,88,CC-R02,Blueberries,Raw materials,R02,,Blueberries,5000000220,Debit,KG,6400.000,6400.000
6,.1~7,7,C2,01,02,01/02,2024-01-02T00:00:00,1,2,Goods Receipt for Purchase Order,Goods Receipt,GR goods receipt,88,CC-R03,Strawberries,Raw materials,R03,,Strawberries,5000000220,Debit,KG,32800.000,32800.000
7,.1~8,8,C2,01,02,01/02,2024-01-02T00:00:00,1,2,Goods Receipt for Purchase Order,Goods Receipt,GR goods receipt,88,CC-R04,Raisins,Raw materials,R04,,Raisins,5000000220,Debit,KG,25600.000,25600.000
8,.1~9,9,C2,01,02,01/02,2024-01-02T00:00:00,1,2,Goods Receipt for Purchase Order,Goods Receipt,GR goods receipt,88,CC-R05,Wheat,Raw materials,R05,,Wheat,5000000220,Debit,KG,80800.000,80800.000
9,.1~10,10,C2,01,02,01/02,2024-01-02T00:00:00,1,2,Goods Receipt for Purchase Order,Goods Receipt,GR goods receipt,88,CC-R06,Oats,Raw materials,R06,,Oats,5000000220,Debit,KG,80800.000,80800.000
10,.1~11,11,C2,01,03,01/03,2024-01-03T00:00:00,1,3,Goods Movement for Completion Confirm.,Goods Issue,GR for order,02,CC-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,4900015820,Debit,ST,26000,26000
11,.1~12,12,C2,01,03,01/03,2024-01-03T00:00:00,1,3,Goods Movement for Completion Confirm.,Goods Issue,GI for order,88,CC-P03,Small Box (500g),Raw materials,P03,500g,Small Box,4900015821,Credit,ST,26000,-26000
12,.1~13,13,C2,01,03,01/03,2024-01-03T00:00:00,1,3,Goods Movement for Completion Confirm.,Goods Issue,GI for order,88,CC-P04,Small Bag (500g),Raw materials,P04,500g,Small Bag,4900015821,Credit,ST,26000,-26000
13,.1~14,14,C2,01,03,01/03,2024-01-03T00:00:00,1,3,Goods Movement for Completion Confirm.,Goods Issue,GI for order,88,CC-R01,Nuts,Raw materials,R01,,Nuts,4900015821,Credit,KG,3900.000,-3900.000
14,.1~15,15,C2,01,03,01/03,2024-01-03T00:00:00,1,3,Goods Movement for Completion Confirm.,Goods Issue,GI for order,88,CC-R05,Wheat,Raw materials,R05,,Wheat,4900015821,Credit,KG,4550.000,-4550.000
15,.1~16,16,C2,01,03,01/03,2024-01-03T00:00:00,1,3,Goods Movement for Completion Confirm.,Goods Issue,GI for order,88,CC-R06,Oats,Raw materials,R06,,Oats,4900015821,Credit,KG,4550.000,-4550.000
16,.1~17,17,C2,01,04,01/04,2024-01-04T00:00:00,1,4,Goods Movement for Completion Confirm.,Goods Issue,GR for order,02,CC-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,4900015822,Debit,ST,22000,22000
17,.1~18,18,C2,01,04,01/04,2024-01-04T00:00:00,1,4,Goods Movement for Completion Confirm.,Goods Issue,GI for order,88,CC-P03,Small Box (500g),Raw materials,P03,500g,Small Box,4900015823,Credit,ST,22000,-22000
18,.1~19,19,C2,01,04,01/04,2024-01-04T00:00:00,1,4,Goods Movement for Completion Confirm.,Goods Issue,GI for order,88,CC-P04,Small Bag (500g),Raw materials,P04,500g,Small Bag,4900015823,Credit,ST,22000,-22000
19,.1~20,20,C2,01,04,01/04,2024-01-04T00:00:00,1,4,Goods Movement for Completion Confirm.,Goods Issue,GI for order,88,CC-R01,Nuts,Raw materials,R01,,Nuts,4900015823,Credit,KG,3300.000,-3300.000
20,.1~21,21,C2,01,04,01/04,2024-01-04T00:00:00,1,4,Goods Movement for Completion Confirm.,Goods Issue,GI for order,88,CC-R05,Wheat,Raw materials,R05,,Wheat,4900015823,Credit,KG,3850.000,-3850.000
21,.1~22,22,C2,01,04,01/04,2024-01-04T00:00:00,1,4,Goods Movement for Completion Confirm.,Goods Issue,GI for order,88,CC-R06,Oats,Raw materials,R06,,Oats,4900015823,Credit,KG,3850.000,-3850.000
22,.1~23,23,C2,01,04,01/04,2024-01-04T00:00:00,1,4,Goods Issue for Delivery,Goods Issue/Delivery,GD goods issue:delvy,02,CC-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,4900015826,Credit,ST,2097,-2097
23,.1~24,24,C2,01,04,01/04,2024-01-04T00:00:00,1,4,Goods Issue for Delivery,Goods Issue/Delivery,GD goods issue:delvy,02,CC-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,4900015827,Credit,ST,2147,-2147
24,.1~25,25,C2,01,04,01/04,2024-01-04T00:00:00,1,4,Goods Issue for Delivery,Goods Issue/Delivery,GD goods issue:delvy,02,CC-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,4900015828,Credit,ST,966,-966
25,.1~26,26,C2,01,04,01/04,2024-01-04T00:00:00,1,4,Goods Issue for Delivery,Goods Issue/Delivery,GD goods issue:delvy,02,CC-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,4900015829,Credit,ST,572,-572
26,.1~27,27,C2,01,04,01/04,2024-01-04T00:00:00,1,4,Goods Issue for Delivery,Goods Issue/Delivery,GD goods issue:delvy,02,CC-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,4900015830,Credit,ST,721,-721
27,.1~28,28,C2,01,04,01/04,2024-01-04T00:00:00,1,4,Goods Issue for Delivery,Goods Issue/Delivery,GD goods issue:delvy,02,CC-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,4900015831,Credit,ST,581,-581
28,.1~29,29,C2,01,04,01/04,2024-01-04T00:00:00,1,4,Goods Issue for Delivery,Goods Issue/Delivery,GD goods issue:delvy,02,CC-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,4900015832,Credit,ST,758,-758
29,.1~30,30,C2,01,05,01/05,2024-01-05T00:00:00,1,5,Goods Movement for Completion Confirm.,Goods Issue,GR for order,02,CC-F03,500g Strawberry Muesli,Finished Product,F03,500g,Strawberry Muesli,4900015834,Debit,ST,25666,25666
30,.1~31,31,C2,01,05,01/05,2024-01-05T00:00:00,1,5,Goods Movement for Completion Confirm.,Goods Issue,GI for order,88,CC-P03,Small Box (500g),Raw materials,P03,500g,Small Box,4900015836,Credit,ST,25666,-25666
31,.1~32,32,C2,01,05,01/05,2024-01-05T00:00:00,1,5,Goods Movement for Completion Confirm.,Goods Issue,GI for order,88,CC-P04,Small Bag (500g),Raw materials,P04,500g,Small Bag,4900015836,Credit,ST,25666,-25666
32,.1~33,33,C2,01,05,01/05,2024-01-05T00:00:00,1,5,Goods Movement for Completion Confirm.,Goods Issue,GI for order,88,CC-R03,Strawberries,Raw materials,R03,,Strawberries,4900015836,Credit,KG,3849.900,-3849.900
33,.1~34,34,C2,01,05,01/05,2024-01-05T00:00:00,1,5,Goods Movement for Completion Confirm.,Goods Issue,GI for order,88,CC-R05,Wheat,Raw materials,R05,,Wheat,4900015836,Credit,KG,4491.550,-4491.550
34,.1~35,35,C2,01,05,01/05,2024-01-05T00:00:00,1,5,Goods Movement for Completion Confirm.,Goods Issue,GI for order,88,CC-R06,Oats,Raw materials,R06,,Oats,4900015836,Credit,KG,4491.550,-4491.550
