,ID,ROW_ID,PLANT,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,STORAGE_LOCATION,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,MATERIAL_TYPE,MATERIAL_CODE,MATERIAL_SIZE,MATERIAL_LABEL,INVENTORY_OPENING_BALANCE,UNIT
0,.1~316,316,C2,01,15,01/15,2024-01-15T00:00:00,3,15,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
1,.1~140,140,C2,01,07,01/07,2024-01-07T00:00:00,2,7,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
2,.1~470,470,C2,02,02,02/02,2024-01-22T00:00:00,5,22,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
3,.1~844,844,C2,02,19,02/19,2024-02-08T00:00:00,8,39,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
4,.1~602,602,C2,02,08,02/08,2024-01-28T00:00:00,6,28,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,25826,ST
5,.1~8,8,C2,01,01,01/01,2024-01-01T00:00:00,1,1,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
6,.1~888,888,C2,03,01,03/01,2024-02-10T00:00:00,9,41,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
7,.1~74,74,C2,01,04,01/04,2024-01-04T00:00:00,1,4,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
8,.1~426,426,C2,01,20,01/20,2024-01-20T00:00:00,4,20,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
9,.1~778,778,C2,02,16,02/16,2024-02-05T00:00:00,8,36,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
10,.1~536,536,C2,02,05,02/05,2024-01-25T00:00:00,5,25,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,45218,ST
11,.1~338,338,C2,01,16,01/16,2024-01-16T00:00:00,4,16,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
12,.1~118,118,C2,01,06,01/06,2024-01-06T00:00:00,2,6,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
13,.1~492,492,C2,02,03,02/03,2024-01-23T00:00:00,5,23,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,5328,ST
14,.1~382,382,C2,01,18,01/18,2024-01-18T00:00:00,4,18,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
15,.1~580,580,C2,02,07,02/07,2024-01-27T00:00:00,6,27,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,36423,ST
16,.1~448,448,C2,02,01,02/01,2024-01-21T00:00:00,5,21,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
17,.1~404,404,C2,01,19,01/19,2024-01-19T00:00:00,4,19,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
18,.1~822,822,C2,02,18,02/18,2024-02-07T00:00:00,8,38,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
19,.1~30,30,C2,01,02,01/02,2024-01-02T00:00:00,1,2,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
20,.1~866,866,C2,02,20,02/20,2024-02-09T00:00:00,8,40,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
21,.1~800,800,C2,02,17,02/17,2024-02-06T00:00:00,8,37,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
22,.1~514,514,C2,02,04,02/04,2024-01-24T00:00:00,5,24,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,26310,ST
23,.1~360,360,C2,01,17,01/17,2024-01-17T00:00:00,4,17,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
24,.1~558,558,C2,02,06,02/06,2024-01-26T00:00:00,6,26,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,43374,ST
25,.1~52,52,C2,01,03,01/03,2024-01-03T00:00:00,1,3,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
26,.1~96,96,C2,01,05,01/05,2024-01-05T00:00:00,1,5,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
27,.1~206,206,C2,01,10,01/10,2024-01-10T00:00:00,2,10,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
28,.1~624,624,C2,02,09,02/09,2024-01-29T00:00:00,6,29,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,8024,ST
29,.1~756,756,C2,02,15,02/15,2024-02-04T00:00:00,7,35,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
30,.1~250,250,C2,01,12,01/12,2024-01-12T00:00:00,3,12,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
31,.1~272,272,C2,01,13,01/13,2024-01-13T00:00:00,3,13,02,CC-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,0,ST
