,ID,ROW_ID,COMPANY_CODE,SALES_ORGANIZATION,SIM_ROUND,SIM_PERIOD,MATERIAL_DESCRIPTION,DISTRIBUTION_CHANNEL,AREA,QUANTITY,UNIT,AVERAGE_PRICE,NET_VALUE,CURRENCY
0,.1~2,2,C2,Company,01,1,500g Nut Muesli,12,North,3063,ST,5.90,18071.70,EUR
1,.1~4,4,C2,Company,01,1,500g Nut Muesli,12,South,0.000,,0.00,0.00,
2,.1~6,6,C2,Company,01,1,500g Nut Muesli,12,West,3067,ST,5.90,18095.30,EUR
3,.1~8,8,C2,Company,01,1,500g Nut Muesli,14,North,1874,ST,7.08,13267.92,EUR
4,.1~10,10,C2,Company,01,1,500g Nut Muesli,14,South,1421,ST,7.08,10060.68,EUR
5,.1~12,12,C2,Company,01,1,500g Nut Muesli,14,West,0.000,,0.00,0.00,
6,.1~14,14,C2,Company,01,2,1kg Nut Muesli,10,North,0.000,,0.00,0.00,
7,.1~16,16,C2,Company,01,2,1kg Nut Muesli,12,South,0.000,,0.00,0.00,
8,.1~18,18,C2,Company,01,2,1kg Nut Muesli,12,West,0.000,,0.00,0.00,
9,.1~20,20,C2,Company,01,2,1kg Raisin Muesli,10,North,5176,ST,6.06,31366.56,EUR
10,.1~22,22,C2,Company,01,2,1kg Raisin Muesli,10,South,8488,ST,6.06,51437.28,EUR
11,.1~24,24,C2,Company,01,2,1kg Raisin Muesli,10,West,6967,ST,6.06,42220.02,EUR
12,.1~26,26,C2,Company,01,2,1kg Raisin Muesli,12,North,8943,ST,6.38,57056.34,EUR
13,.1~28,28,C2,Company,01,2,1kg Raisin Muesli,12,South,12871,ST,6.38,82116.98,EUR
14,.1~30,30,C2,Company,01,2,1kg Raisin Muesli,12,West,12650,ST,6.38,80707.00,EUR
15,.1~32,32,C2,Company,01,2,1kg Strawberry Muesli,10,South,1026,ST,6.91,7089.66,EUR
16,.1~34,34,C2,Company,01,2,1kg Strawberry Muesli,10,West,686,ST,6.91,4740.26,EUR
17,.1~36,36,C2,Company,01,2,1kg Strawberry Muesli,12,North,5428,ST,7.27,39461.56,EUR
18,.1~38,38,C2,Company,01,2,1kg Strawberry Muesli,12,West,1858,ST,7.27,13507.66,EUR
19,.1~40,40,C2,Company,01,2,500g Blueberry Muesli,12,North,0.000,,0.00,0.00,
20,.1~42,42,C2,Company,01,2,500g Blueberry Muesli,12,South,0.000,,0.00,0.00,
21,.1~44,44,C2,Company,01,2,500g Blueberry Muesli,12,West,0.000,,0.00,0.00,
22,.1~46,46,C2,Company,01,2,500g Blueberry Muesli,14,North,0.000,,0.00,0.00,
23,.1~48,48,C2,Company,01,2,500g Blueberry Muesli,14,South,0.000,,0.00,0.00,
24,.1~50,50,C2,Company,01,2,500g Blueberry Muesli,14,West,0.000,,0.00,0.00,
25,.1~52,52,C2,Company,01,2,500g Mixed Fruit Muesli,12,North,0.000,,0.00,0.00,
26,.1~54,54,C2,Company,01,2,500g Mixed Fruit Muesli,12,South,0.000,,0.00,0.00,
27,.1~56,56,C2,Company,01,2,500g Mixed Fruit Muesli,12,West,0.000,,0.00,0.00,
28,.1~58,58,C2,Company,01,2,500g Mixed Fruit Muesli,14,North,0.000,,0.00,0.00,
29,.1~60,60,C2,Company,01,2,500g Mixed Fruit Muesli,14,South,0.000,,0.00,0.00,
30,.1~62,62,C2,Company,01,2,500g Mixed Fruit Muesli,14,West,0.000,,0.00,0.00,
31,.1~64,64,C2,Company,01,2,500g Nut Muesli,12,North,7757,ST,5.90,45766.30,EUR
32,.1~66,66,C2,Company,01,2,500g Nut Muesli,12,South,3270,ST,5.90,19293.00,EUR
33,.1~68,68,C2,Company,01,2,500g Nut Muesli,12,West,4585,ST,5.90,27051.50,EUR
34,.1~70,70,C2,Company,01,2,500g Nut Muesli,14,North,631,ST,7.08,4467.48,EUR
35,.1~72,72,C2,Company,01,2,500g Nut Muesli,14,South,595,ST,7.08,4212.60,EUR
36,.1~74,74,C2,Company,01,2,500g Nut Muesli,14,West,573,ST,7.08,4056.84,EUR
37,.1~76,76,C2,Company,01,2,500g Strawberry Muesli,12,North,6014,ST,6.23,37467.22,EUR
38,.1~78,78,C2,Company,01,2,500g Strawberry Muesli,12,South,8536,ST,6.23,53179.28,EUR
39,.1~80,80,C2,Company,01,2,500g Strawberry Muesli,12,West,4946,ST,6.23,30813.58,EUR
40,.1~82,82,C2,Company,01,2,500g Strawberry Muesli,14,North,1923,ST,7.48,14384.04,EUR
41,.1~84,84,C2,Company,01,2,500g Strawberry Muesli,14,South,2332,ST,7.48,17443.36,EUR
42,.1~86,86,C2,Company,01,2,500g Strawberry Muesli,14,West,4566,ST,7.48,34153.68,EUR
43,.1~88,88,C2,Company,01,3,1kg Mixed Fruit Muesli,10,North,4585,ST,6.71,30765.35,EUR
44,.1~90,90,C2,Company,01,3,1kg Mixed Fruit Muesli,10,South,2710,ST,6.71,18184.10,EUR
45,.1~92,92,C2,Company,01,3,1kg Mixed Fruit Muesli,10,West,3793,ST,6.71,25451.03,EUR
46,.1~94,94,C2,Company,01,3,1kg Mixed Fruit Muesli,12,North,7818,ST,7.06,55195.08,EUR
47,.1~96,96,C2,Company,01,3,1kg Mixed Fruit Muesli,12,South,14521,ST,7.06,102518.26,EUR
48,.1~98,98,C2,Company,01,3,1kg Mixed Fruit Muesli,12,West,17535,ST,7.06,123797.10,EUR
49,.1~100,100,C2,Company,01,3,1kg Nut Muesli,10,South,0.000,,0.00,0.00,
50,.1~102,102,C2,Company,01,3,1kg Nut Muesli,10,West,0.000,,0.00,0.00,
51,.1~104,104,C2,Company,01,3,1kg Nut Muesli,12,North,0.000,,0.00,0.00,
52,.1~106,106,C2,Company,01,3,1kg Nut Muesli,12,South,0.000,,0.00,0.00,
53,.1~108,108,C2,Company,01,3,1kg Nut Muesli,12,West,0.000,,0.00,0.00,
54,.1~110,110,C2,Company,01,3,1kg Raisin Muesli,10,North,607,ST,6.06,3678.42,EUR
55,.1~112,112,C2,Company,01,3,1kg Raisin Muesli,12,North,2083,ST,6.38,13289.54,EUR
56,.1~114,114,C2,Company,01,3,1kg Raisin Muesli,12,South,6215,ST,6.38,39651.70,EUR
57,.1~116,116,C2,Company,01,3,1kg Strawberry Muesli,10,North,8294,ST,6.91,57311.54,EUR
58,.1~118,118,C2,Company,01,3,1kg Strawberry Muesli,10,South,7788,ST,6.91,53815.08,EUR
59,.1~120,120,C2,Company,01,3,1kg Strawberry Muesli,10,West,7380,ST,6.91,50995.80,EUR
