,ID,ROW_ID,SALES_ORGANIZATION,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,DISTRIBUTION_CHANNEL,DC_NAME,PRICE,CURRENCY
0,.1~1,1,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F01,500g Nut Muesli,12,Grocery chains,5.90,EUR
1,.1~2,2,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F01,500g Nut Muesli,14,Indept. grocers,7.08,EUR
2,.1~3,3,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F02,500g Blueberry Muesli,12,Grocery chains,6.23,EUR
3,.1~4,4,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F02,500g Blueberry Muesli,14,Indept. grocers,7.48,EUR
4,.1~5,5,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F03,500g Strawberry Muesli,12,Grocery chains,6.23,EUR
5,.1~6,6,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F03,500g Strawberry Muesli,14,Indept. grocers,7.48,EUR
6,.1~7,7,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F04,500g Raisin Muesli,12,Grocery chains,5.79,EUR
7,.1~8,8,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F04,500g Raisin Muesli,14,Indept. grocers,6.95,EUR
8,.1~9,9,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F05,500g Original Muesli,12,Grocery chains,5.77,EUR
9,.1~10,10,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F05,500g Original Muesli,14,Indept. grocers,6.92,EUR
10,.1~11,11,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F06,500g Mixed Fruit Muesli,12,Grocery chains,6.13,EUR
11,.1~12,12,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F06,500g Mixed Fruit Muesli,14,Indept. grocers,7.36,EUR
12,.1~13,13,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F11,1kg Nut Muesli,10,Hypermarket,6.28,EUR
13,.1~14,14,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F11,1kg Nut Muesli,12,Grocery chains,6.61,EUR
14,.1~15,15,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F12,1kg Blueberry Muesli,10,Hypermarket,6.90,EUR
15,.1~16,16,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F12,1kg Blueberry Muesli,12,Grocery chains,7.26,EUR
16,.1~17,17,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F13,1kg Strawberry Muesli,10,Hypermarket,6.91,EUR
17,.1~18,18,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F13,1kg Strawberry Muesli,12,Grocery chains,7.27,EUR
18,.1~19,19,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F14,1kg Raisin Muesli,10,Hypermarket,6.06,EUR
19,.1~20,20,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F14,1kg Raisin Muesli,12,Grocery chains,6.38,EUR
20,.1~21,21,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F15,1kg Original Muesli,10,Hypermarket,6.03,EUR
21,.1~22,22,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F15,1kg Original Muesli,12,Grocery chains,6.35,EUR
22,.1~23,23,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F16,1kg Mixed Fruit Muesli,10,Hypermarket,6.71,EUR
23,.1~24,24,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F16,1kg Mixed Fruit Muesli,12,Grocery chains,7.06,EUR
24,.1~25,25,C2,01,02,01/02,2024-01-02T00:00:00,1,2,CC-F01,500g Nut Muesli,12,Grocery chains,5.90,EUR
25,.1~26,26,C2,01,02,01/02,2024-01-02T00:00:00,1,2,CC-F01,500g Nut Muesli,14,Indept. grocers,7.08,EUR
26,.1~27,27,C2,01,02,01/02,2024-01-02T00:00:00,1,2,CC-F02,500g Blueberry Muesli,12,Grocery chains,6.23,EUR
27,.1~28,28,C2,01,02,01/02,2024-01-02T00:00:00,1,2,CC-F02,500g Blueberry Muesli,14,Indept. grocers,7.48,EUR
28,.1~29,29,C2,01,02,01/02,2024-01-02T00:00:00,1,2,CC-F03,500g Strawberry Muesli,12,Grocery chains,6.23,EUR
29,.1~30,30,C2,01,02,01/02,2024-01-02T00:00:00,1,2,CC-F03,500g Strawberry Muesli,14,Indept. grocers,7.48,EUR
30,.1~31,31,C2,01,02,01/02,2024-01-02T00:00:00,1,2,CC-F04,500g Raisin Muesli,12,Grocery chains,5.79,EUR
31,.1~32,32,C2,01,02,01/02,2024-01-02T00:00:00,1,2,CC-F04,500g Raisin Muesli,14,Indept. grocers,6.95,EUR
32,.1~33,33,C2,01,02,01/02,2024-01-02T00:00:00,1,2,CC-F05,500g Original Muesli,12,Grocery chains,5.77,EUR
33,.1~34,34,C2,01,02,01/02,2024-01-02T00:00:00,1,2,CC-F05,500g Original Muesli,14,Indept. grocers,6.92,EUR
34,.1~35,35,C2,01,02,01/02,2024-01-02T00:00:00,1,2,CC-F06,500g Mixed Fruit Muesli,12,Grocery chains,6.13,EUR
35,.1~36,36,C2,01,02,01/02,2024-01-02T00:00:00,1,2,CC-F06,500g Mixed Fruit Muesli,14,Indept. grocers,7.36,EUR
36,.1~37,37,C2,01,02,01/02,2024-01-02T00:00:00,1,2,CC-F11,1kg Nut Muesli,10,Hypermarket,6.28,EUR
37,.1~38,38,C2,01,02,01/02,2024-01-02T00:00:00,1,2,CC-F11,1kg Nut Muesli,12,Grocery chains,6.61,EUR
38,.1~39,39,C2,01,02,01/02,2024-01-02T00:00:00,1,2,CC-F12,1kg Blueberry Muesli,10,Hypermarket,6.90,EUR
39,.1~40,40,C2,01,02,01/02,2024-01-02T00:00:00,1,2,CC-F12,1kg Blueberry Muesli,12,Grocery chains,7.26,EUR
40,.1~41,41,C2,01,02,01/02,2024-01-02T00:00:00,1,2,CC-F13,1kg Strawberry Muesli,10,Hypermarket,6.91,EUR
41,.1~42,42,C2,01,02,01/02,2024-01-02T00:00:00,1,2,CC-F13,1kg Strawberry Muesli,12,Grocery chains,7.27,EUR
42,.1~43,43,C2,01,02,01/02,2024-01-02T00:00:00,1,2,CC-F14,1kg Raisin Muesli,10,Hypermarket,6.06,EUR
43,.1~44,44,C2,01,02,01/02,2024-01-02T00:00:00,1,2,CC-F14,1kg Raisin Muesli,12,Grocery chains,6.38,EUR
44,.1~45,45,C2,01,02,01/02,2024-01-02T00:00:00,1,2,CC-F15,1kg Original Muesli,10,Hypermarket,6.03,EUR
45,.1~46,46,C2,01,02,01/02,2024-01-02T00:00:00,1,2,CC-F15,1kg Original Muesli,12,Grocery chains,6.35,EUR
46,.1~47,47,C2,01,02,01/02,2024-01-02T00:00:00,1,2,CC-F16,1kg Mixed Fruit Muesli,10,Hypermarket,6.71,EUR
47,.1~48,48,C2,01,02,01/02,2024-01-02T00:00:00,1,2,CC-F16,1kg Mixed Fruit Muesli,12,Grocery chains,7.06,EUR
48,.1~49,49,C2,01,03,01/03,2024-01-03T00:00:00,1,3,CC-F01,500g Nut Muesli,12,Grocery chains,5.90,EUR
49,.1~50,50,C2,01,03,01/03,2024-01-03T00:00:00,1,3,CC-F01,500g Nut Muesli,14,Indept. grocers,7.08,EUR
50,.1~51,51,C2,01,03,01/03,2024-01-03T00:00:00,1,3,CC-F02,500g Blueberry Muesli,12,Grocery chains,6.23,EUR
51,.1~52,52,C2,01,03,01/03,2024-01-03T00:00:00,1,3,CC-F02,500g Blueberry Muesli,14,Indept. grocers,7.48,EUR
52,.1~53,53,C2,01,03,01/03,2024-01-03T00:00:00,1,3,CC-F03,500g Strawberry Muesli,12,Grocery chains,6.23,EUR
53,.1~54,54,C2,01,03,01/03,2024-01-03T00:00:00,1,3,CC-F03,500g Strawberry Muesli,14,Indept. grocers,7.48,EUR
54,.1~55,55,C2,01,03,01/03,2024-01-03T00:00:00,1,3,CC-F04,500g Raisin Muesli,12,Grocery chains,5.79,EUR
55,.1~56,56,C2,01,03,01/03,2024-01-03T00:00:00,1,3,CC-F04,500g Raisin Muesli,14,Indept. grocers,6.95,EUR
56,.1~57,57,C2,01,03,01/03,2024-01-03T00:00:00,1,3,CC-F05,500g Original Muesli,12,Grocery chains,5.77,EUR
57,.1~58,58,C2,01,03,01/03,2024-01-03T00:00:00,1,3,CC-F05,500g Original Muesli,14,Indept. grocers,6.92,EUR
58,.1~59,59,C2,01,03,01/03,2024-01-03T00:00:00,1,3,CC-F06,500g Mixed Fruit Muesli,12,Grocery chains,6.13,EUR
59,.1~60,60,C2,01,03,01/03,2024-01-03T00:00:00,1,3,CC-F06,500g Mixed Fruit Muesli,14,Indept. grocers,7.36,EUR
60,.1~61,61,C2,01,03,01/03,2024-01-03T00:00:00,1,3,CC-F11,1kg Nut Muesli,10,Hypermarket,6.28,EUR
61,.1~62,62,C2,01,03,01/03,2024-01-03T00:00:00,1,3,CC-F11,1kg Nut Muesli,12,Grocery chains,6.61,EUR
62,.1~63,63,C2,01,03,01/03,2024-01-03T00:00:00,1,3,CC-F12,1kg Blueberry Muesli,10,Hypermarket,6.90,EUR
63,.1~64,64,C2,01,03,01/03,2024-01-03T00:00:00,1,3,CC-F12,1kg Blueberry Muesli,12,Grocery chains,7.26,EUR
64,.1~65,65,C2,01,03,01/03,2024-01-03T00:00:00,1,3,CC-F13,1kg Strawberry Muesli,10,Hypermarket,6.91,EUR
65,.1~66,66,C2,01,03,01/03,2024-01-03T00:00:00,1,3,CC-F13,1kg Strawberry Muesli,12,Grocery chains,7.27,EUR
66,.1~67,67,C2,01,03,01/03,2024-01-03T00:00:00,1,3,CC-F14,1kg Raisin Muesli,10,Hypermarket,6.06,EUR
67,.1~68,68,C2,01,03,01/03,2024-01-03T00:00:00,1,3,CC-F14,1kg Raisin Muesli,12,Grocery chains,6.38,EUR
68,.1~69,69,C2,01,03,01/03,2024-01-03T00:00:00,1,3,CC-F15,1kg Original Muesli,10,Hypermarket,6.03,EUR
69,.1~70,70,C2,01,03,01/03,2024-01-03T00:00:00,1,3,CC-F15,1kg Original Muesli,12,Grocery chains,6.35,EUR
70,.1~71,71,C2,01,03,01/03,2024-01-03T00:00:00,1,3,CC-F16,1kg Mixed Fruit Muesli,10,Hypermarket,6.71,EUR
71,.1~72,72,C2,01,03,01/03,2024-01-03T00:00:00,1,3,CC-F16,1kg Mixed Fruit Muesli,12,Grocery chains,7.06,EUR
72,.1~73,73,C2,01,04,01/04,2024-01-04T00:00:00,1,4,CC-F01,500g Nut Muesli,12,Grocery chains,5.90,EUR
73,.1~74,74,C2,01,04,01/04,2024-01-04T00:00:00,1,4,CC-F01,500g Nut Muesli,14,Indept. grocers,7.08,EUR
74,.1~75,75,C2,01,04,01/04,2024-01-04T00:00:00,1,4,CC-F02,500g Blueberry Muesli,12,Grocery chains,6.23,EUR
75,.1~76,76,C2,01,04,01/04,2024-01-04T00:00:00,1,4,CC-F02,500g Blueberry Muesli,14,Indept. grocers,7.48,EUR
76,.1~77,77,C2,01,04,01/04,2024-01-04T00:00:00,1,4,CC-F03,500g Strawberry Muesli,12,Grocery chains,6.23,EUR
77,.1~78,78,C2,01,04,01/04,2024-01-04T00:00:00,1,4,CC-F03,500g Strawberry Muesli,14,Indept. grocers,7.48,EUR
78,.1~79,79,C2,01,04,01/04,2024-01-04T00:00:00,1,4,CC-F04,500g Raisin Muesli,12,Grocery chains,5.79,EUR
79,.1~80,80,C2,01,04,01/04,2024-01-04T00:00:00,1,4,CC-F04,500g Raisin Muesli,14,Indept. grocers,6.95,EUR
80,.1~81,81,C2,01,04,01/04,2024-01-04T00:00:00,1,4,CC-F05,500g Original Muesli,12,Grocery chains,5.77,EUR
81,.1~82,82,C2,01,04,01/04,2024-01-04T00:00:00,1,4,CC-F05,500g Original Muesli,14,Indept. grocers,6.92,EUR
82,.1~83,83,C2,01,04,01/04,2024-01-04T00:00:00,1,4,CC-F06,500g Mixed Fruit Muesli,12,Grocery chains,6.13,EUR
83,.1~84,84,C2,01,04,01/04,2024-01-04T00:00:00,1,4,CC-F06,500g Mixed Fruit Muesli,14,Indept. grocers,7.36,EUR
