,ID,ROW_ID,COMPANY_CODE,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,MATERIAL_SIZE,MATERIAL_LABEL,MATERIAL_CODE,YIELD,UNIT
0,.1~465,465,C2,02,19,02/19,2024-02-08T00:00:00,8,39,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
1,.1~189,189,C2,01,16,01/16,2024-01-16T00:00:00,4,16,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
2,.1~365,365,C2,02,11,02/11,2024-01-31T00:00:00,7,31,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
3,.1~263,263,C2,02,02,02/02,2024-01-22T00:00:00,5,22,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,5.328E3,ST
4,.1~94,94,C2,01,08,01/08,2024-01-08T00:00:00,2,8,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
5,.1~102,102,C2,01,09,01/09,2024-01-09T00:00:00,2,9,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
6,.1~56,56,C2,01,05,01/05,2024-01-05T00:00:00,1,5,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
7,.1~18,18,C2,01,02,01/02,2024-01-02T00:00:00,1,2,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
8,.1~199,199,C2,01,17,01/17,2024-01-17T00:00:00,4,17,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
9,.1~380,380,C2,02,12,02/12,2024-02-01T00:00:00,7,32,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
10,.1~478,478,C2,02,20,02/20,2024-02-09T00:00:00,8,40,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
11,.1~245,245,C2,02,01,02/01,2024-01-21T00:00:00,5,21,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
12,.1~409,409,C2,02,15,02/15,2024-02-04T00:00:00,7,35,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
13,.1~206,206,C2,01,18,01/18,2024-01-18T00:00:00,4,18,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
14,.1~237,237,C2,01,20,01/20,2024-01-20T00:00:00,4,20,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
15,.1~5,5,C2,01,01,01/01,2024-01-01T00:00:00,1,1,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
16,.1~394,394,C2,02,13,02/13,2024-02-02T00:00:00,7,33,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
17,.1~74,74,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
18,.1~68,68,C2,01,06,01/06,2024-01-06T00:00:00,2,6,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
19,.1~398,398,C2,02,14,02/14,2024-02-03T00:00:00,7,34,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
20,.1~221,221,C2,01,19,01/19,2024-01-19T00:00:00,4,19,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
21,.1~449,449,C2,02,18,02/18,2024-02-07T00:00:00,8,38,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
22,.1~288,288,C2,02,04,02/04,2024-01-24T00:00:00,5,24,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,2.6E4,ST
23,.1~119,119,C2,01,10,01/10,2024-01-10T00:00:00,2,10,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
24,.1~134,134,C2,01,12,01/12,2024-01-12T00:00:00,3,12,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
25,.1~43,43,C2,01,04,01/04,2024-01-04T00:00:00,1,4,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
26,.1~161,161,C2,01,14,01/14,2024-01-14T00:00:00,3,14,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
27,.1~323,323,C2,02,07,02/07,2024-01-27T00:00:00,6,27,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
28,.1~32,32,C2,01,03,01/03,2024-01-03T00:00:00,1,3,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
29,.1~307,307,C2,02,06,02/06,2024-01-26T00:00:00,6,26,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
30,.1~299,299,C2,02,05,02/05,2024-01-25T00:00:00,5,25,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,6.672E3,ST
31,.1~126,126,C2,01,11,01/11,2024-01-11T00:00:00,3,11,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
32,.1~346,346,C2,02,09,02/09,2024-01-29T00:00:00,6,29,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
33,.1~425,425,C2,02,16,02/16,2024-02-05T00:00:00,8,36,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
34,.1~176,176,C2,01,15,01/15,2024-01-15T00:00:00,3,15,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
35,.1~146,146,C2,01,13,01/13,2024-01-13T00:00:00,3,13,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
36,.1~276,276,C2,02,03,02/03,2024-01-23T00:00:00,5,23,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,2.6E4,ST
37,.1~331,331,C2,02,08,02/08,2024-01-28T00:00:00,6,28,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
38,.1~437,437,C2,02,17,02/17,2024-02-06T00:00:00,8,37,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
39,.1~356,356,C2,02,10,02/10,2024-01-30T00:00:00,6,30,CC-F12,1kg Blueberry Muesli,1kg,Blueberry Muesli,F12,0,ST
40,.1~168,168,C2,01,14,01/14,2024-01-14T00:00:00,3,14,CC-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,1.9336E4,ST
41,.1~289,289,C2,02,05,02/05,2024-01-25T00:00:00,5,25,CC-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
42,.1~156,156,C2,01,13,01/13,2024-01-13T00:00:00,3,13,CC-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,2.6E4,ST
43,.1~301,301,C2,02,06,02/06,2024-01-26T00:00:00,6,26,CC-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
44,.1~144,144,C2,01,12,01/12,2024-01-12T00:00:00,3,12,CC-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,1.8664E4,ST
45,.1~35,35,C2,01,03,01/03,2024-01-03T00:00:00,1,3,CC-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
46,.1~442,442,C2,02,17,02/17,2024-02-06T00:00:00,8,37,CC-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
47,.1~319,319,C2,02,07,02/07,2024-01-27T00:00:00,6,27,CC-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
48,.1~332,332,C2,02,08,02/08,2024-01-28T00:00:00,6,28,CC-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
49,.1~121,121,C2,01,11,01/11,2024-01-11T00:00:00,3,11,CC-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
50,.1~44,44,C2,01,04,01/04,2024-01-04T00:00:00,1,4,CC-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
51,.1~339,339,C2,02,09,02/09,2024-01-29T00:00:00,6,29,CC-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
52,.1~430,430,C2,02,16,02/16,2024-02-05T00:00:00,8,36,CC-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
53,.1~113,113,C2,01,10,01/10,2024-01-10T00:00:00,2,10,CC-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
54,.1~351,351,C2,02,10,02/10,2024-01-30T00:00:00,6,30,CC-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
55,.1~106,106,C2,01,09,01/09,2024-01-09T00:00:00,2,9,CC-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
56,.1~369,369,C2,02,11,02/11,2024-01-31T00:00:00,7,31,CC-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
57,.1~418,418,C2,02,15,02/15,2024-02-04T00:00:00,7,35,CC-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
58,.1~91,91,C2,01,08,01/08,2024-01-08T00:00:00,2,8,CC-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
59,.1~59,59,C2,01,05,01/05,2024-01-05T00:00:00,1,5,CC-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
60,.1~61,61,C2,01,06,01/06,2024-01-06T00:00:00,2,6,CC-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
61,.1~83,83,C2,01,07,01/07,2024-01-07T00:00:00,2,7,CC-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,0,ST
62,.1~384,384,C2,02,12,02/12,2024-02-01T00:00:00,7,32,CC-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,2.3992E4,ST
63,.1~408,408,C2,02,14,02/14,2024-02-03T00:00:00,7,34,CC-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,1.4008E4,ST
64,.1~396,396,C2,02,13,02/13,2024-02-02T00:00:00,7,33,CC-F16,1kg Mixed Fruit Muesli,1kg,Mixed Fruit Muesli,F16,2.6E4,ST
