,ID,ROW_ID,COMPANY_CODE,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,PURCHASING_ORDER,VENDOR,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,QUANTITY,STATUS,UNIT,GOODS_RECEIPT_ROUND,GOODS_RECEIPT_STEP,GOODS_RECEIPT_DATE
0,.1~1,1,C2,01,01,01/01,2024-01-01T00:00:00,1,1,4500000221,V01,CC-R01,Nuts,13600.000,Delivered,KG,01,02,01/02
1,.1~2,2,C2,01,01,01/01,2024-01-01T00:00:00,1,1,4500000221,V01,CC-R02,Blueberries,6400.000,Delivered,KG,01,02,01/02
2,.1~3,3,C2,01,01,01/01,2024-01-01T00:00:00,1,1,4500000221,V01,CC-R03,Strawberries,32800.000,Delivered,KG,01,02,01/02
3,.1~4,4,C2,01,01,01/01,2024-01-01T00:00:00,1,1,4500000221,V01,CC-R04,Raisins,25600.000,Delivered,KG,01,02,01/02
4,.1~5,5,C2,01,01,01/01,2024-01-01T00:00:00,1,1,4500000221,V01,CC-R05,Wheat,80800.000,Delivered,KG,01,02,01/02
5,.1~6,6,C2,01,01,01/01,2024-01-01T00:00:00,1,1,4500000221,V01,CC-R06,Oats,80800.000,Delivered,KG,01,02,01/02
6,.1~7,7,C2,01,01,01/01,2024-01-01T00:00:00,1,1,4500000222,V02,CC-P01,Large Box (1kg),192000,Delivered,ST,01,02,01/02
7,.1~8,8,C2,01,01,01/01,2024-01-01T00:00:00,1,1,4500000222,V02,CC-P02,Large Bag (1kg),192000,Delivered,ST,01,02,01/02
8,.1~9,9,C2,01,01,01/01,2024-01-01T00:00:00,1,1,4500000222,V02,CC-P03,Small Box (500g),96000,Delivered,ST,01,02,01/02
9,.1~10,10,C2,01,01,01/01,2024-01-01T00:00:00,1,1,4500000222,V02,CC-P04,Small Bag (500g),96000,Delivered,ST,01,02,01/02
10,.1~11,11,C2,01,09,01/09,2024-01-09T00:00:00,2,9,4500000229,V01,CC-R01,Nuts,22400.000,Delivered,KG,01,10,01/10
11,.1~12,12,C2,01,09,01/09,2024-01-09T00:00:00,2,9,4500000229,V01,CC-R02,Blueberries,32000.000,Delivered,KG,01,10,01/10
12,.1~13,13,C2,01,09,01/09,2024-01-09T00:00:00,2,9,4500000229,V01,CC-R03,Strawberries,3200.000,Delivered,KG,01,10,01/10
13,.1~14,14,C2,01,09,01/09,2024-01-09T00:00:00,2,9,4500000229,V01,CC-R04,Raisins,12800.000,Delivered,KG,01,10,01/10
14,.1~15,15,C2,01,09,01/09,2024-01-09T00:00:00,2,9,4500000229,V01,CC-R05,Wheat,76800.000,Delivered,KG,01,10,01/10
15,.1~16,16,C2,01,09,01/09,2024-01-09T00:00:00,2,9,4500000229,V01,CC-R06,Oats,76800.000,Delivered,KG,01,10,01/10
16,.1~17,17,C2,01,09,01/09,2024-01-09T00:00:00,2,9,4500000230,V02,CC-P01,Large Box (1kg),128000,Delivered,ST,01,10,01/10
17,.1~18,18,C2,01,09,01/09,2024-01-09T00:00:00,2,9,4500000230,V02,CC-P02,Large Bag (1kg),128000,Delivered,ST,01,10,01/10
18,.1~19,19,C2,01,09,01/09,2024-01-09T00:00:00,2,9,4500000230,V02,CC-P03,Small Box (500g),192000,Delivered,ST,01,10,01/10
19,.1~20,20,C2,01,09,01/09,2024-01-09T00:00:00,2,9,4500000230,V02,CC-P04,Small Bag (500g),192000,Delivered,ST,01,10,01/10
20,.1~21,21,C2,02,01,02/01,2024-01-21T00:00:00,5,21,4500000239,V01,CC-R01,Nuts,14800.000,Delivered,KG,02,03,02/03
21,.1~22,22,C2,02,01,02/01,2024-01-21T00:00:00,5,21,4500000239,V01,CC-R02,Blueberries,6400.000,Delivered,KG,02,03,02/03
22,.1~23,23,C2,02,01,02/01,2024-01-21T00:00:00,5,21,4500000239,V01,CC-R03,Strawberries,34000.000,Delivered,KG,02,03,02/03
23,.1~24,24,C2,02,01,02/01,2024-01-21T00:00:00,5,21,4500000239,V01,CC-R04,Raisins,25600.000,Delivered,KG,02,03,02/03
24,.1~25,25,C2,02,01,02/01,2024-01-21T00:00:00,5,21,4500000239,V01,CC-R05,Wheat,78400.000,Delivered,KG,02,03,02/03
25,.1~26,26,C2,02,01,02/01,2024-01-21T00:00:00,5,21,4500000239,V01,CC-R06,Oats,80800.000,Delivered,KG,02,03,02/03
26,.1~27,27,C2,02,01,02/01,2024-01-21T00:00:00,5,21,4500000240,V02,CC-P01,Large Box (1kg),192000,Delivered,ST,02,03,02/03
27,.1~28,28,C2,02,01,02/01,2024-01-21T00:00:00,5,21,4500000240,V02,CC-P02,Large Bag (1kg),192000,Delivered,ST,02,03,02/03
28,.1~29,29,C2,02,01,02/01,2024-01-21T00:00:00,5,21,4500000240,V02,CC-P03,Small Box (500g),96000,Delivered,ST,02,03,02/03
29,.1~30,30,C2,02,01,02/01,2024-01-21T00:00:00,5,21,4500000240,V02,CC-P04,Small Bag (500g),96000,Delivered,ST,02,03,02/03
30,.1~31,31,C2,02,09,02/09,2024-01-29T00:00:00,6,29,4500000243,V01,CC-R01,Nuts,26650.000,Delivered,KG,02,12,02/12
31,.1~32,32,C2,02,09,02/09,2024-01-29T00:00:00,6,29,4500000243,V01,CC-R02,Blueberries,40850.000,Delivered,KG,02,12,02/12
32,.1~33,33,C2,02,09,02/09,2024-01-29T00:00:00,6,29,4500000243,V01,CC-R03,Strawberries,2650.000,Delivered,KG,02,12,02/12
33,.1~34,34,C2,02,09,02/09,2024-01-29T00:00:00,6,29,4500000243,V01,CC-R04,Raisins,14650.000,Delivered,KG,02,12,02/12
34,.1~35,35,C2,02,09,02/09,2024-01-29T00:00:00,6,29,4500000243,V01,CC-R05,Wheat,91050.000,Delivered,KG,02,12,02/12
35,.1~36,36,C2,02,09,02/09,2024-01-29T00:00:00,6,29,4500000243,V01,CC-R06,Oats,92650.000,Delivered,KG,02,12,02/12
36,.1~37,37,C2,02,09,02/09,2024-01-29T00:00:00,6,29,4500000244,V02,CC-P01,Large Box (1kg),170000,Delivered,ST,02,11,02/11
37,.1~38,38,C2,02,09,02/09,2024-01-29T00:00:00,6,29,4500000244,V02,CC-P02,Large Bag (1kg),170000,Delivered,ST,02,11,02/11
38,.1~39,39,C2,02,09,02/09,2024-01-29T00:00:00,6,29,4500000244,V02,CC-P03,Small Box (500g),197000,Delivered,ST,02,11,02/11
39,.1~40,40,C2,02,09,02/09,2024-01-29T00:00:00,6,29,4500000244,V02,CC-P04,Small Bag (500g),197000,Delivered,ST,02,11,02/11
