,ID,ROW_ID,SALES_ORGANIZATION,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,SALES_ORDER_NUMBER,LINE_ITEM,STORAGE_LOCATION,REGION,AREA,CITY,COUNTRY,POSTAL_CODE,CUSTOMER_NUMBER,DISTRIBUTION_CHANNEL,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,MATERIAL_TYPE,MATERIAL_CODE,MATERIAL_SIZE,MATERIAL_LABEL,QUANTITY,QUANTITY_DELIVERED,UNIT,NET_PRICE,NET_VALUE,COST,CURRENCY,CONTRIBUTION_MARGIN,CONTRIBUTION_MARGIN_PCT
0,.1~1,1,C2,01,04,01/04,2024-01-04T00:00:00,1,4,13378,1,02,Berlin,North,WALTERSDORF,Germany,12529,80130,12,CC-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,1111,1111,ST,5.90,6554.90,999.90,EUR,5555.00000,0.85
1,.1~2,2,C2,01,04,01/04,2024-01-04T00:00:00,1,4,13378,2,02,Berlin,North,WALTERSDORF,Germany,12529,80130,12,CC-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,986,986,ST,5.90,5817.40,887.40,EUR,4930.00000,0.85
2,.1~3,3,C2,01,04,01/04,2024-01-04T00:00:00,1,4,13379,1,02,Nrth Rhine Westfalia,West,GELSENKIRCHEN,Germany,45879,80154,12,CC-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,1214,1214,ST,5.90,7162.60,1092.60,EUR,6070.00000,0.85
3,.1~4,4,C2,01,04,01/04,2024-01-04T00:00:00,1,4,13379,2,02,Nrth Rhine Westfalia,West,GELSENKIRCHEN,Germany,45879,80154,12,CC-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,933,933,ST,5.90,5504.70,839.70,EUR,4665.00000,0.85
4,.1~5,5,C2,01,04,01/04,2024-01-04T00:00:00,1,4,13380,1,02,Bremen,North,BREMEN,Germany,28259,80133,12,CC-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,966,966,ST,5.90,5699.40,869.40,EUR,4830.00000,0.85
5,.1~6,6,C2,01,04,01/04,2024-01-04T00:00:00,1,4,13381,1,02,Bremen,North,BREMEN,Germany,28195,80201,14,CC-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,572,572,ST,7.08,4049.76,514.80,EUR,3534.96000,0.87
6,.1~7,7,C2,01,04,01/04,2024-01-04T00:00:00,1,4,13382,1,02,Schleswig-Holstein,North,LÜBECK,Germany,23558,80286,14,CC-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,721,721,ST,7.08,5104.68,648.90,EUR,4455.78000,0.87
7,.1~8,8,C2,01,04,01/04,2024-01-04T00:00:00,1,4,13383,1,02,Schleswig-Holstein,North,GÄGELOW,Germany,23968,80283,14,CC-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,581,581,ST,7.08,4113.48,522.90,EUR,3590.58000,0.87
8,.1~9,9,C2,01,04,01/04,2024-01-04T00:00:00,1,4,13384,1,02,Thuringia,South,JENA,Germany,07747,80291,14,CC-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,758,758,ST,7.08,5366.64,682.20,EUR,4684.44000,0.87
9,.1~10,10,C2,01,05,01/05,2024-01-05T00:00:00,1,5,13385,1,02,Nrth Rhine Westfalia,West,PADERBORN,Germany,33100,80159,12,CC-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,920,920,ST,5.90,5428.00,828.00,EUR,4600.00000,0.85
10,.1~11,11,C2,01,05,01/05,2024-01-05T00:00:00,1,5,13387,1,02,Baden-Wurttemberg,South,TÜBINGEN,Germany,72072,80183,14,CC-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,663,663,ST,7.08,4694.04,596.70,EUR,4097.34000,0.87
11,.1~12,12,C2,01,06,01/06,2024-01-06T00:00:00,2,6,13403,3,02,Baden-Wurttemberg,South,KARLSRUHE,Germany,76133,80115,12,CC-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,938,938,ST,5.90,5534.20,844.20,EUR,4690.00000,0.85
12,.1~13,13,C2,01,06,01/06,2024-01-06T00:00:00,2,6,13409,1,02,Nrth Rhine Westfalia,West,MÜNSTER,Germany,48159,80158,12,CC-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,1204,1204,ST,5.90,7103.60,1083.60,EUR,6020.00000,0.85
13,.1~14,14,C2,01,06,01/06,2024-01-06T00:00:00,2,6,13405,1,02,Baden-Wurttemberg,South,STUTTGART,Germany,70173,80118,12,CC-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,1214,1214,ST,5.90,7162.60,1092.60,EUR,6070.00000,0.85
14,.1~15,15,C2,01,06,01/06,2024-01-06T00:00:00,2,6,13411,1,02,Nrth Rhine Westfalia,West,DORTMUND,Germany,44339,80150,12,CC-F03,500g Strawberry Muesli,Finished Product,F03,500g,Strawberry Muesli,999,999,ST,6.23,6223.77,1228.77,EUR,4995.00000,0.80
15,.1~16,16,C2,01,06,01/06,2024-01-06T00:00:00,2,6,13408,1,02,Saxony,North,CHEMNITZ,Germany,09111,80165,12,CC-F03,500g Strawberry Muesli,Finished Product,F03,500g,Strawberry Muesli,1006,1006,ST,6.23,6267.38,1237.38,EUR,5030.00000,0.80
16,.1~17,17,C2,01,06,01/06,2024-01-06T00:00:00,2,6,13405,3,02,Baden-Wurttemberg,South,STUTTGART,Germany,70173,80118,12,CC-F03,500g Strawberry Muesli,Finished Product,F03,500g,Strawberry Muesli,1086,1086,ST,6.23,6765.78,1335.78,EUR,5430.00000,0.80
17,.1~18,18,C2,01,06,01/06,2024-01-06T00:00:00,2,6,13405,2,02,Baden-Wurttemberg,South,STUTTGART,Germany,70173,80118,12,CC-F03,500g Strawberry Muesli,Finished Product,F03,500g,Strawberry Muesli,1110,1110,ST,6.23,6915.30,1365.30,EUR,5550.00000,0.80
18,.1~19,19,C2,01,06,01/06,2024-01-06T00:00:00,2,6,13403,1,02,Baden-Wurttemberg,South,KARLSRUHE,Germany,76133,80115,12,CC-F03,500g Strawberry Muesli,Finished Product,F03,500g,Strawberry Muesli,1121,1121,ST,6.23,6983.83,1378.83,EUR,5605.00000,0.80
19,.1~20,20,C2,01,06,01/06,2024-01-06T00:00:00,2,6,13403,2,02,Baden-Wurttemberg,South,KARLSRUHE,Germany,76133,80115,12,CC-F03,500g Strawberry Muesli,Finished Product,F03,500g,Strawberry Muesli,1019,1019,ST,6.23,6348.37,1253.37,EUR,5095.00000,0.80
20,.1~21,21,C2,01,06,01/06,2024-01-06T00:00:00,2,6,13413,1,02,Nrth Rhine Westfalia,West,DUISBURG,Germany,47059,80238,14,CC-F03,500g Strawberry Muesli,Finished Product,F03,500g,Strawberry Muesli,636,636,ST,7.48,4757.28,782.28,EUR,3975.00000,0.84
21,.1~22,22,C2,01,06,01/06,2024-01-06T00:00:00,2,6,13415,1,02,Nrth Rhine Westfalia,West,KÖLN,Germany,50667,80246,14,CC-F03,500g Strawberry Muesli,Finished Product,F03,500g,Strawberry Muesli,660,660,ST,7.48,4936.80,811.80,EUR,4125.00000,0.84
22,.1~23,23,C2,01,06,01/06,2024-01-06T00:00:00,2,6,13417,1,02,Nrth Rhine Westfalia,West,EUSKIRCHEN,Germany,53879,80242,14,CC-F03,500g Strawberry Muesli,Finished Product,F03,500g,Strawberry Muesli,707,707,ST,7.48,5288.36,869.61,EUR,4418.75000,0.84
23,.1~24,24,C2,01,07,01/07,2024-01-07T00:00:00,2,7,13426,2,02,Nrth Rhine Westfalia,West,BRÜHL,Germany,50321,80149,12,CC-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,1098,1098,ST,5.90,6478.20,988.20,EUR,5490.00000,0.85
24,.1~25,25,C2,01,07,01/07,2024-01-07T00:00:00,2,7,13426,1,02,Nrth Rhine Westfalia,West,BRÜHL,Germany,50321,80149,12,CC-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,1071,1071,ST,5.90,6318.90,963.90,EUR,5355.00000,0.85
25,.1~26,26,C2,01,07,01/07,2024-01-07T00:00:00,2,7,13424,1,02,Baden-Wurttemberg,South,ALBSTADT,Germany,72458,80170,12,CC-F03,500g Strawberry Muesli,Finished Product,F03,500g,Strawberry Muesli,927,927,ST,6.23,5775.21,1140.21,EUR,4635.00000,0.80
26,.1~27,27,C2,01,07,01/07,2024-01-07T00:00:00,2,7,13424,2,02,Baden-Wurttemberg,South,ALBSTADT,Germany,72458,80170,12,CC-F03,500g Strawberry Muesli,Finished Product,F03,500g,Strawberry Muesli,1140,1140,ST,6.23,7102.20,1402.20,EUR,5700.00000,0.80
27,.1~28,28,C2,01,07,01/07,2024-01-07T00:00:00,2,7,13428,1,02,Nrth Rhine Westfalia,West,KREFELD,Germany,47798,80157,12,CC-F03,500g Strawberry Muesli,Finished Product,F03,500g,Strawberry Muesli,989,989,ST,6.23,6161.47,1216.47,EUR,4945.00000,0.80
28,.1~29,29,C2,01,07,01/07,2024-01-07T00:00:00,2,7,13428,2,02,Nrth Rhine Westfalia,West,KREFELD,Germany,47798,80157,12,CC-F03,500g Strawberry Muesli,Finished Product,F03,500g,Strawberry Muesli,880,880,ST,6.23,5482.40,1082.40,EUR,4400.00000,0.80
29,.1~30,30,C2,01,07,01/07,2024-01-07T00:00:00,2,7,13430,1,02,Schleswig-Holstein,North,LÜBECK,Germany,23556,80287,14,CC-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,631,631,ST,7.08,4467.48,567.90,EUR,3899.58000,0.87
30,.1~31,31,C2,01,07,01/07,2024-01-07T00:00:00,2,7,13432,1,02,Baden-Wurttemberg,South,KIRCHENTELLINSFURT,Germany,72138,80176,14,CC-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,595,595,ST,7.08,4212.60,535.50,EUR,3677.10000,0.87
31,.1~32,32,C2,01,07,01/07,2024-01-07T00:00:00,2,7,13438,1,02,Baden-Wurttemberg,South,HORB (AM NECKAR),Germany,72160,80174,14,CC-F03,500g Strawberry Muesli,Finished Product,F03,500g,Strawberry Muesli,549,549,ST,7.48,4106.52,675.27,EUR,3431.25000,0.84
32,.1~33,33,C2,01,07,01/07,2024-01-07T00:00:00,2,7,13436,1,02,Nrth Rhine Westfalia,West,DUISBURG,Germany,47051,80239,14,CC-F03,500g Strawberry Muesli,Finished Product,F03,500g,Strawberry Muesli,642,642,ST,7.48,4802.16,789.66,EUR,4012.50000,0.84
33,.1~34,34,C2,01,07,01/07,2024-01-07T00:00:00,2,7,13434,1,02,Nrth Rhine Westfalia,West,DORTMUND,Germany,44137,80236,14,CC-F03,500g Strawberry Muesli,Finished Product,F03,500g,Strawberry Muesli,663,663,ST,7.48,4959.24,815.49,EUR,4143.75000,0.84
34,.1~35,35,C2,01,08,01/08,2024-01-08T00:00:00,2,8,13469,2,02,Lower Saxony,North,GÖTTINGEN,Germany,37075,80108,10,CC-F14,1kg Raisin Muesli,Finished Product,F14,1kg,Raisin Muesli,967,967,ST,6.06,5860.02,1344.13,EUR,4515.89000,0.77
35,.1~36,36,C2,01,08,01/08,2024-01-08T00:00:00,2,8,13469,1,02,Lower Saxony,North,GÖTTINGEN,Germany,37075,80108,10,CC-F14,1kg Raisin Muesli,Finished Product,F14,1kg,Raisin Muesli,1139,1139,ST,6.06,6902.34,1583.21,EUR,5319.13000,0.77
36,.1~37,37,C2,01,08,01/08,2024-01-08T00:00:00,2,8,13469,3,02,Lower Saxony,North,GÖTTINGEN,Germany,37075,80108,10,CC-F14,1kg Raisin Muesli,Finished Product,F14,1kg,Raisin Muesli,913,913,ST,6.06,5532.78,1269.07,EUR,4263.71000,0.77
37,.1~38,38,C2,01,08,01/08,2024-01-08T00:00:00,2,8,13465,3,02,Nrth Rhine Westfalia,West,DÜREN,Germany,52349,80109,10,CC-F14,1kg Raisin Muesli,Finished Product,F14,1kg,Raisin Muesli,957,957,ST,6.06,5799.42,1330.23,EUR,4469.19000,0.77
38,.1~39,39,C2,01,08,01/08,2024-01-08T00:00:00,2,8,13465,2,02,Nrth Rhine Westfalia,West,DÜREN,Germany,52349,80109,10,CC-F14,1kg Raisin Muesli,Finished Product,F14,1kg,Raisin Muesli,1093,1093,ST,6.06,6623.58,1519.27,EUR,5104.31000,0.77
39,.1~40,40,C2,01,08,01/08,2024-01-08T00:00:00,2,8,13465,1,02,Nrth Rhine Westfalia,West,DÜREN,Germany,52349,80109,10,CC-F14,1kg Raisin Muesli,Finished Product,F14,1kg,Raisin Muesli,1037,1037,ST,6.06,6284.22,1441.43,EUR,4842.79000,0.77
40,.1~41,41,C2,01,08,01/08,2024-01-08T00:00:00,2,8,13449,1,02,Bavaria,South,MÜNCHEN,Germany,80993,80103,10,CC-F14,1kg Raisin Muesli,Finished Product,F14,1kg,Raisin Muesli,990,990,ST,6.06,5999.40,1376.10,EUR,4623.30000,0.77
41,.1~42,42,C2,01,08,01/08,2024-01-08T00:00:00,2,8,13449,3,02,Bavaria,South,MÜNCHEN,Germany,80993,80103,10,CC-F14,1kg Raisin Muesli,Finished Product,F14,1kg,Raisin Muesli,1037,1037,ST,6.06,6284.22,1441.43,EUR,4842.79000,0.77
42,.1~43,43,C2,01,08,01/08,2024-01-08T00:00:00,2,8,13449,2,02,Bavaria,South,MÜNCHEN,Germany,80993,80103,10,CC-F14,1kg Raisin Muesli,Finished Product,F14,1kg,Raisin Muesli,1163,1163,ST,6.06,7047.78,1616.57,EUR,5431.21000,0.77
43,.1~44,44,C2,01,08,01/08,2024-01-08T00:00:00,2,8,13453,1,02,Schleswig-Holstein,North,KIEL,Germany,24113,80168,12,CC-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,1168,1168,ST,5.90,6891.20,1051.20,EUR,5840.00000,0.85
44,.1~45,45,C2,01,08,01/08,2024-01-08T00:00:00,2,8,13456,2,02,Schleswig-Holstein,North,NEUMÜNSTER,Germany,24537,80169,12,CC-F01,500g Nut Muesli,Finished Product,F01,500g,Nut Muesli,1156,1156,ST,5.90,6820.40,1040.40,EUR,5780.00000,0.85
45,.1~46,46,C2,01,08,01/08,2024-01-08T00:00:00,2,8,13451,3,02,Baden-Wurttemberg,South,KORNTAL,Germany,70825,80116,12,CC-F03,500g Strawberry Muesli,Finished Product,F03,500g,Strawberry Muesli,1034,1034,ST,6.23,6441.82,1271.82,EUR,5170.00000,0.80
46,.1~47,47,C2,01,08,01/08,2024-01-08T00:00:00,2,8,13453,3,02,Schleswig-Holstein,North,KIEL,Germany,24113,80168,12,CC-F03,500g Strawberry Muesli,Finished Product,F03,500g,Strawberry Muesli,999,999,ST,6.23,6223.77,1228.77,EUR,4995.00000,0.80
47,.1~48,48,C2,01,08,01/08,2024-01-08T00:00:00,2,8,13456,1,02,Schleswig-Holstein,North,NEUMÜNSTER,Germany,24537,80169,12,CC-F03,500g Strawberry Muesli,Finished Product,F03,500g,Strawberry Muesli,902,902,ST,6.23,5619.46,1109.46,EUR,4510.00000,0.80
